Batch ,Measurement date,d.a.i,Tree Code,GS before injectoin,Cultivar ,Status,Leaf #,1 h,24 h
4,12/29/2021,5,JR04,0.04,PA,Healthy,6,1310538,1204423
4,12/29/2021,5,JR08,0.229,SB,Healthy,5,2301889,878482.3
4,12/29/2021,5,JR15,0.113,SB,HLB+,6,466634.1,264683.6
4,12/29/2021,5,JR17,0.141,PA,HLB+,6,88928.19,45804.25
4,12/29/2021,5,JR23,0.105,PA,HLB+,6,731448.4,866092.3
4,12/29/2021,5,JR28,0.245,SB,HLB+,6,1018502,696450.3
5,12/25/2021,0,JR05,0.153,PA,Healthy,5,554818.8,228177
5,12/25/2021,0,JR07,0.129,SB,Healthy,5,327821.1,148869.1
5,12/25/2021,0,JR09,0.064,SB,Healthy,7,501477.2,293713.4
5,12/25/2021,0,JR20,0.165,PA,HLB+,7,935161.6,227966.9
5,12/25/2021,0,JR29,0.288,SB,HLB+,6,483852.3,195700.3
5,12/25/2021,0,JR30,0.347,SB,HLB+,7,100935.2,51787.18
5,12/26/2021,1,JR05,0.153,PA,Healthy,5,925428.3,406418.3
5,12/26/2021,1,JR07,0.129,SB,Healthy,5,752823,320840.9
5,12/26/2021,1,JR09,0.064,SB,Healthy,7,922680.4,593587.4
5,12/26/2021,1,JR20,0.165,PA,HLB+,7,1940715,458976.6
5,12/26/2021,1,JR29,0.288,SB,HLB+,6,908934.8,350511.2
5,12/26/2021,1,JR30,0.347,SB,HLB+,7,189310.7,87600.26
5,12/27/2021,2,JR05,0.153,PA,Healthy,5,989859.1,428642.8
5,12/27/2021,2,JR07,0.129,SB,Healthy,5,759401.2,320770.8
5,12/27/2021,2,JR09,0.064,SB,Healthy,7,956245.9,601435.8
5,12/27/2021,2,JR20,0.165,PA,HLB+,7,1974576,473686.6
5,12/27/2021,2,JR29,0.288,SB,HLB+,6,967086.2,360462.9
5,12/27/2021,2,JR30,0.347,SB,HLB+,7,199263.8,88623.67
5,12/28/2021,3,JR05,0.153,PA,Healthy,5,993052.4,434518.9
