Sample ID,Ct Value,NTC,File name,Tree Code,Batch
6,NA,33.6,QPCR Results 2022-05-18 CQL,JR06,3
7,33.2336,33.6,QPCR Results 2022-05-18 CQL,JR07,5
9,33.6062,33.6,QPCR Results 2022-05-18 CQL,JR08,4
10,32.2724,33.6,QPCR Results 2022-05-23 CQL,JR10,2
21,32.4713,33.6,QPCR Results 2022-05-23 CQL,JR01,2
24,32.8115,33.6,QPCR Results 2022-05-23 CQL,JR04,4
39,27.2816,33.6,QPCR Results 2022-05-23 CQL,JR11,3
40,28.3654,33.6,QPCR Results 2022-05-23 CQL,JR13,2
41,28.3807,33.6,QPCR Results 2022-05-23 CQL,JR16,3
42,26.4182,33.6,QPCR Results 2022-05-23 CQL,JR23,4
43,26.6624,33.6,QPCR Results 2022-05-23 CQL,JR28,4
44,27.8911,33.6,QPCR Results 2022-05-23 CQL,JR29,5
45,32.481,33.6,QPCR Results 2022-05-23 CQL,JR30,5
63,32.3538,33.6,QPCR Results 2022-05-23 CQL,JR12,3
64,32.6546,33.6,QPCR Results 2022-06-01 CQL,JR14,3
65,33.7008,33.6,QPCR Results 2022-06-01 CQL,JR15,4
66,33.1839,33.6,QPCR Results 2022-06-01 CQL,JR17,4
67,32.4096,33.6,QPCR Results 2022-06-01 CQL,JR20,5
69,31.4201,33.6,QPCR Results 2022-06-01 CQL,JR24,2
84,33.021,33.6,QPCR Results 2022-05-17 CQL,JR07,7
85,32.8268,33.6,QPCR Results 2022-05-17 CQL,JR09,8
98,32.5539,33.6,QPCR Results 2022-05-17 CQL,JR01,6
100,33.4312,33.6,QPCR Results 2022-05-17 CQL,JR03,8
101,33.0244,33.6,QPCR Results 2022-05-17 CQL,JR04,7
102,31.9701,33.6,QPCR Results 2022-05-17 CQL,JR05,9
116,28.3468,33.6,QPCR Results 2022-05-17 CQL,JR11,7
117,28.716,33.6,QPCR Results 2022-05-17 CQL,JR13,6
118,28.356,33.6,QPCR Results 2022-05-17 CQL,JR16,7
119,29.3878,33.6,QPCR Results 2022-05-17 CQL,JR23,9
120,30.4367,33.6,QPCR Results 2022-05-17 CQL,JR28,8
121,28.7856,33.6,QPCR Results 2022-05-17 CQL,JR29,6
122,32.4825,33.6,QPCR Results 2022-05-17 CQL,JR30,8
140,33.0669,33.6,QPCR Results 2022-05-18 CQL,JR12,7
141,33.0623,33.6,QPCR Results 2022-05-18 CQL,JR14,8
142,33.1105,33.6,QPCR Results 2022-05-18 CQL,JR15,7
143,31.1774,33.6,QPCR Results 2022-05-18 CQL,JR17,9
144,31.9561,33.6,QPCR Results 2022-05-18 CQL,JR20,6
145,33.3254,33.6,QPCR Results 2022-05-18 CQL,JR21,6
146,32.857,33.6,QPCR Results 2022-05-18 CQL,JR24,8
206,33.2133,33.6,QPCR Results 2022-05-18 CQL,JR25,9
210,30.3145,33.6,QPCR Results 2022-05-18 CQL,JR26,9
,,,,,
