"variable","Cultivar","value_inf_vs_healthy","p_value"
"Ferr","PA",0.891314994978512,0.0184
"Ferr","SB",2.89194819093552,0.0184
"GPI","PA",1.07175190398381,0.5
"GPI","SB",1.06260274915247,0.5
"GLU.1..41.42.","PA",2.28234283946277,0.7556
"GLU.1..41.42.","SB",0.455450044728482,0.7556
"GLU_2","PA",0.143745428617453,0.3842
"GLU_2","SB",0.611384230821253,0.3842
