"variable","Cultivar","value_inf_vs_healthy","p_value"
"CALS3","PA",1.81713186786324,0.039
"CALS3","SB",4.3990454632932,0.039
"CALS7","PA",0.527163699606401,8e-04
"CALS7","SB",2.84742179856823,8e-04
"CALS9","PA",0.659362485624488,0.0018
"CALS9","SB",2.38270524946891,0.0018
"CALS11","PA",0.481094659196521,4e-04
"CALS11","SB",3.93860779738495,4e-04
"CALS12","PA",0.469062581068053,0
"CALS12","SB",3.86033978128786,0
