object_id,timestep,labelimage_oid,User Label,Predicted Class,Probability of Callose,Probability of Label 2,Size in pixels,Bounding Box Minimum_0,Bounding Box Minimum_1,Bounding Box Maximum_0,Bounding Box Maximum_1,Center of the object_0,Center of the object_1
0,0,1,0,Callose,1.0,0.0,35.0,725.0,0.0,731.0,7.0,727.7714,2.5714285
1,0,2,0,Callose,1.0,0.0,54.0,471.0,22.0,479.0,34.0,474.81482,27.148148
2,0,3,0,Callose,1.0,0.0,35.0,511.0,26.0,519.0,32.0,514.6,28.485714
3,0,4,0,Callose,1.0,0.0,53.0,303.0,47.0,310.0,56.0,306.1887,51.18868
4,0,5,0,Callose,1.0,0.0,73.0,45.0,57.0,53.0,68.0,48.315067,62.260273
5,0,6,0,Callose,1.0,0.0,21.0,11.0,58.0,16.0,63.0,13.0,60.0
6,0,7,0,Callose,1.0,0.0,34.0,151.0,59.0,158.0,66.0,154.0,61.735294
7,0,8,0,Callose,1.0,0.0,26.0,465.0,59.0,470.0,66.0,467.1154,62.23077
8,0,9,0,Callose,1.0,0.0,51.0,525.0,76.0,533.0,85.0,528.62744,79.882355
9,0,10,0,Callose,1.0,0.0,25.0,155.0,93.0,161.0,99.0,157.56,95.52
10,0,11,0,Callose,1.0,0.0,47.0,735.0,116.0,742.0,124.0,737.8298,119.34042
11,0,12,0,Callose,1.0,0.0,83.0,367.0,123.0,376.0,135.0,370.66266,128.54218
12,0,13,0,Callose,1.0,0.0,49.0,455.0,133.0,462.0,143.0,457.93878,137.10204
13,0,14,0,Callose,1.0,0.0,51.0,499.0,141.0,507.0,150.0,502.2353,145.11765
14,0,15,0,Callose,1.0,0.0,30.0,243.0,146.0,248.0,153.0,245.06667,149.1
15,0,16,0,Callose,1.0,0.0,63.0,293.0,158.0,300.0,169.0,296.01587,162.5873
16,0,17,0,Callose,1.0,0.0,78.0,698.0,175.0,706.0,192.0,702.1667,183.57692
17,0,18,0,Callose,1.0,0.0,47.0,517.0,176.0,524.0,184.0,520.0213,179.82979
18,0,19,0,Callose,1.0,0.0,30.0,138.0,207.0,144.0,215.0,140.76666,210.23334
19,0,20,0,Callose,1.0,0.0,62.0,79.0,215.0,85.0,228.0,81.354836,220.43549
20,0,21,0,Callose,1.0,0.0,67.0,666.0,215.0,674.0,225.0,669.5373,219.28358
21,0,22,0,Callose,1.0,0.0,67.0,512.0,219.0,520.0,230.0,515.55225,223.68657
22,0,23,0,Callose,1.0,0.0,25.0,366.0,225.0,372.0,230.0,368.56,226.92
23,0,24,0,Callose,1.0,0.0,69.0,444.0,243.0,452.0,254.0,447.44928,247.95653
24,0,25,0,Callose,1.0,0.0,177.0,509.0,255.0,519.0,275.0,513.5141,264.27682
25,0,26,0,Callose,1.0,0.0,35.0,441.0,268.0,446.0,277.0,443.0,271.77142
26,0,27,0,Callose,1.0,0.0,74.0,113.0,282.0,120.0,296.0,115.810814,288.3243
27,0,28,0,Callose,1.0,0.0,50.0,277.0,285.0,284.0,294.0,279.98,289.08
28,0,29,0,Callose,1.0,0.0,126.0,683.0,295.0,697.0,309.0,689.7381,301.49207
29,0,30,0,Callose,1.0,0.0,243.0,437.0,300.0,448.0,332.0,441.9753,315.0288
30,0,31,0,Callose,1.0,0.0,41.0,245.0,301.0,252.0,309.0,248.14635,304.09756
31,0,32,0,Callose,1.0,0.0,76.0,295.0,304.0,304.0,315.0,298.89474,309.42105
32,0,33,0,Callose,1.0,0.0,43.0,660.0,320.0,666.0,328.0,662.4651,323.72092
33,0,34,0,Callose,1.0,0.0,49.0,72.0,324.0,80.0,333.0,75.69388,327.69388
34,0,35,0,Callose,1.0,0.0,25.0,111.0,357.0,118.0,361.0,113.88,358.56
35,0,36,0,Callose,1.0,0.0,50.0,434.0,358.0,441.0,367.0,437.08,362.36
36,0,37,0,Callose,1.0,0.0,78.0,235.0,359.0,243.0,375.0,238.76923,367.1154
37,0,38,0,Callose,1.0,0.0,20.0,105.0,360.0,110.0,365.0,107.25,361.75
38,0,39,0,Callose,1.0,0.0,41.0,159.0,366.0,166.0,373.0,161.7561,369.0
39,0,40,0,Callose,1.0,0.0,38.0,123.0,378.0,131.0,387.0,126.18421,382.1316
40,0,41,0,Callose,1.0,0.0,167.0,429.0,378.0,438.0,403.0,433.0,390.79642
41,0,42,0,Callose,1.0,0.0,29.0,116.0,388.0,123.0,393.0,118.62069,389.86206
42,0,43,0,Callose,1.0,0.0,51.0,270.0,394.0,277.0,405.0,273.01962,399.09805
43,0,44,0,Callose,1.0,0.0,130.0,677.0,414.0,693.0,425.0,684.10767,418.7846
44,0,45,0,Callose,1.0,0.0,37.0,58.0,419.0,67.0,425.0,62.324326,421.16217
45,0,46,0,Callose,1.0,0.0,106.0,281.0,434.0,292.0,447.0,286.23584,439.90567
46,0,47,0,Callose,1.0,0.0,71.0,315.0,441.0,323.0,452.0,318.40845,445.831
47,0,48,0,Callose,1.0,0.0,83.0,679.0,452.0,687.0,467.0,682.8795,458.8554
48,0,49,0,Callose,1.0,0.0,28.0,225.0,489.0,232.0,495.0,228.28572,491.14285
49,0,50,0,Callose,1.0,0.0,52.0,315.0,495.0,319.0,510.0,316.40384,501.84616
50,0,51,0,Callose,1.0,0.0,22.0,322.0,503.0,327.0,508.0,324.0909,505.0909
