object_id,timestep,labelimage_oid,User Label,Predicted Class,Probability of Callose,Probability of Label 2,Size in pixels,Bounding Box Minimum_0,Bounding Box Minimum_1,Bounding Box Maximum_0,Bounding Box Maximum_1,Center of the object_0,Center of the object_1
0,0,1,0,Callose,1.0,0.0,28.0,425.0,354.0,431.0,360.0,427.14285,356.60715
1,0,2,0,Callose,1.0,0.0,50.0,345.0,497.0,353.0,507.0,348.72,501.5
2,0,3,0,Callose,1.0,0.0,29.0,854.0,501.0,859.0,510.0,856.0,505.2069
3,0,4,0,Callose,1.0,0.0,75.0,683.0,553.0,690.0,570.0,685.36,559.93335
4,0,5,0,Callose,1.0,0.0,46.0,448.0,598.0,454.0,608.0,450.86957,602.65216
5,0,6,0,Callose,1.0,0.0,45.0,479.0,626.0,485.0,635.0,481.5778,630.1111
6,0,7,0,Callose,1.0,0.0,42.0,706.0,626.0,712.0,636.0,708.1429,630.8095
7,0,8,0,Callose,1.0,0.0,49.0,567.0,647.0,574.0,657.0,570.0,651.9796
8,0,9,0,Callose,1.0,0.0,57.0,74.0,648.0,81.0,658.0,77.052635,652.4561
9,0,10,0,Callose,1.0,0.0,65.0,492.0,655.0,505.0,662.0,497.76923,658.0615
10,0,11,0,Callose,1.0,0.0,29.0,964.0,660.0,970.0,667.0,966.5862,662.9655
11,0,12,0,Callose,1.0,0.0,39.0,968.0,678.0,975.0,685.0,970.71796,680.97437
12,0,13,0,Callose,1.0,0.0,48.0,872.0,687.0,880.0,695.0,875.75,690.1458
13,0,14,0,Callose,1.0,0.0,31.0,404.0,689.0,409.0,698.0,405.80646,692.80646
14,0,15,0,Callose,1.0,0.0,41.0,971.0,693.0,978.0,701.0,973.9268,696.2439
15,0,16,0,Callose,1.0,0.0,32.0,894.0,751.0,900.0,758.0,896.28125,753.8125
16,0,17,0,Callose,1.0,0.0,31.0,204.0,769.0,210.0,779.0,207.0,774.29034
17,0,18,0,Callose,1.0,0.0,26.0,900.0,793.0,906.0,799.0,902.8461,795.4231
18,0,19,0,Callose,1.0,0.0,82.0,899.0,802.0,907.0,816.0,902.8415,809.12195
19,0,20,0,Callose,1.0,0.0,37.0,989.0,852.0,995.0,860.0,991.67566,855.2973
20,0,21,0,Callose,1.0,0.0,23.0,857.0,874.0,863.0,879.0,859.56525,875.8261
