object_id,timestep,labelimage_oid,User Label,Predicted Class,Probability of Callose,Probability of Label 2,Size in pixels,Bounding Box Minimum_0,Bounding Box Minimum_1,Bounding Box Maximum_0,Bounding Box Maximum_1,Center of the object_0,Center of the object_1
0,0,1,0,Callose,1.0,0.0,45.0,439.0,0.0,446.0,8.0,441.93332,3.3111112
1,0,2,0,Callose,1.0,0.0,38.0,752.0,3.0,759.0,10.0,755.0,5.5526314
2,0,3,0,Callose,1.0,0.0,28.0,194.0,29.0,200.0,35.0,196.32143,31.5
3,0,4,0,Callose,1.0,0.0,26.0,503.0,121.0,509.0,128.0,505.96155,123.57692
4,0,5,0,Callose,1.0,0.0,31.0,877.0,161.0,883.0,168.0,879.7742,164.16129
5,0,6,0,Callose,1.0,0.0,21.0,511.0,184.0,515.0,191.0,512.4762,187.33333
6,0,7,0,Callose,1.0,0.0,22.0,444.0,206.0,449.0,211.0,445.9091,208.09091
7,0,8,0,Callose,1.0,0.0,47.0,416.0,211.0,422.0,221.0,418.3617,215.14894
8,0,9,0,Callose,1.0,0.0,21.0,700.0,300.0,704.0,310.0,701.4286,304.1905
9,0,10,0,Callose,1.0,0.0,22.0,439.0,302.0,444.0,307.0,440.9091,304.22726
10,0,11,0,Callose,1.0,0.0,41.0,731.0,355.0,738.0,363.0,734.1707,358.41464
11,0,12,0,Callose,1.0,0.0,30.0,757.0,358.0,763.0,365.0,759.3333,360.9
12,0,13,0,Callose,1.0,0.0,121.0,609.0,376.0,619.0,392.0,613.42975,383.43802
13,0,14,0,Callose,1.0,0.0,47.0,728.0,402.0,735.0,410.0,730.93616,405.4468
14,0,15,0,Callose,1.0,0.0,54.0,814.0,437.0,824.0,444.0,818.37036,439.44446
15,0,16,0,Callose,1.0,0.0,20.0,777.0,447.0,781.0,453.0,778.6,449.5
16,0,17,0,Callose,1.0,0.0,78.0,387.0,476.0,397.0,486.0,391.79486,480.46155
17,0,18,0,Callose,1.0,0.0,22.0,638.0,485.0,648.0,489.0,642.3182,486.54544
18,0,19,0,Callose,1.0,0.0,39.0,547.0,493.0,552.0,504.0,548.9487,498.15384
19,0,20,0,Callose,1.0,0.0,80.0,391.0,521.0,399.0,533.0,394.725,526.4
20,0,21,0,Callose,1.0,0.0,51.0,450.0,530.0,457.0,539.0,453.07843,533.62744
21,0,22,0,Callose,1.0,0.0,53.0,611.0,533.0,619.0,542.0,614.6415,537.0377
22,0,23,0,Callose,1.0,0.0,26.0,524.0,540.0,529.0,548.0,526.4231,543.4231
23,0,24,0,Callose,1.0,0.0,46.0,674.0,555.0,680.0,567.0,676.3913,560.587
24,0,25,0,Callose,1.0,0.0,51.0,609.0,576.0,617.0,584.0,612.37256,578.902
25,0,26,0,Callose,1.0,0.0,37.0,461.0,577.0,466.0,587.0,463.45947,581.3514
26,0,27,0,Callose,1.0,0.0,28.0,523.0,587.0,528.0,595.0,525.2857,590.8929
27,0,28,0,Callose,1.0,0.0,38.0,259.0,598.0,266.0,605.0,262.21054,601.1579
28,0,29,0,Callose,1.0,0.0,27.0,267.0,626.0,272.0,633.0,269.0,628.62964
29,0,30,0,Callose,1.0,0.0,21.0,389.0,635.0,393.0,641.0,390.42856,637.5714
30,0,31,0,Callose,1.0,0.0,28.0,327.0,640.0,333.0,646.0,329.10715,642.1071
31,0,32,0,Callose,1.0,0.0,29.0,391.0,654.0,397.0,660.0,393.5862,656.4138
32,0,33,0,Callose,1.0,0.0,43.0,346.0,678.0,355.0,685.0,350.18604,681.2558
33,0,34,0,Callose,1.0,0.0,74.0,340.0,711.0,352.0,722.0,345.7027,715.0135
34,0,35,0,Callose,1.0,0.0,50.0,401.0,711.0,407.0,721.0,403.4,715.34
35,0,36,0,Callose,1.0,0.0,110.0,666.0,734.0,678.0,748.0,671.6091,740.38184
36,0,37,0,Callose,1.0,0.0,60.0,247.0,749.0,256.0,758.0,251.16667,753.11664
37,0,38,0,Callose,1.0,0.0,39.0,745.0,752.0,752.0,759.0,747.87177,754.87177
38,0,39,0,Callose,1.0,0.0,75.0,398.0,760.0,405.0,774.0,401.41333,766.06665
39,0,40,0,Callose,1.0,0.0,71.0,287.0,767.0,296.0,777.0,290.69016,771.3521
40,0,41,0,Callose,1.0,0.0,90.0,230.0,786.0,240.0,798.0,234.36667,791.63336
41,0,42,0,Callose,1.0,0.0,52.0,355.0,787.0,361.0,798.0,357.84616,791.9039
42,0,43,0,Callose,1.0,0.0,36.0,391.0,809.0,397.0,817.0,393.6111,812.3333
43,0,44,0,Callose,1.0,0.0,62.0,419.0,810.0,431.0,819.0,424.40323,814.74194
44,0,45,0,Callose,1.0,0.0,51.0,295.0,817.0,302.0,826.0,298.2549,820.8823
45,0,46,0,Callose,1.0,0.0,47.0,779.0,852.0,786.0,860.0,781.8723,855.29785
46,0,47,0,Callose,1.0,0.0,80.0,204.0,876.0,212.0,887.0,207.5875,881.2375
47,0,48,0,Callose,1.0,0.0,41.0,798.0,887.0,803.0,897.0,799.95123,891.9756
48,0,49,0,Callose,1.0,0.0,46.0,217.0,965.0,223.0,978.0,219.47826,970.13043
