object_id,timestep,labelimage_oid,User Label,Predicted Class,Probability of Callose,Probability of Label 2,Size in pixels,Bounding Box Minimum_0,Bounding Box Minimum_1,Bounding Box Maximum_0,Bounding Box Maximum_1,Center of the object_0,Center of the object_1
0,0,1,0,Callose,1.0,0.0,69.0,946.0,36.0,953.0,49.0,949.2754,42.231884
1,0,2,0,Callose,1.0,0.0,46.0,735.0,45.0,741.0,55.0,737.56525,49.826088
2,0,3,0,Callose,1.0,0.0,79.0,874.0,56.0,883.0,67.0,877.8734,61.13924
3,0,4,0,Callose,1.0,0.0,29.0,707.0,149.0,713.0,155.0,709.34485,151.41379
4,0,5,0,Callose,1.0,0.0,46.0,866.0,153.0,872.0,162.0,868.6957,156.78261
5,0,6,0,Callose,1.0,0.0,55.0,850.0,232.0,857.0,243.0,852.9818,237.58182
6,0,7,0,Callose,1.0,0.0,49.0,941.0,258.0,949.0,267.0,944.4286,261.83673
7,0,8,0,Callose,1.0,0.0,39.0,867.0,259.0,873.0,267.0,869.28204,262.15384
8,0,9,0,Callose,1.0,0.0,47.0,937.0,292.0,944.0,300.0,940.06384,295.29788
9,0,10,0,Callose,1.0,0.0,36.0,855.0,378.0,861.0,385.0,857.3889,381.1389
10,0,11,0,Callose,1.0,0.0,42.0,917.0,386.0,924.0,394.0,920.0952,389.38095
11,0,12,0,Callose,1.0,0.0,54.0,899.0,544.0,906.0,554.0,901.7037,548.37036
12,0,13,0,Callose,1.0,0.0,77.0,830.0,574.0,841.0,584.0,835.013,578.64935
13,0,14,0,Callose,1.0,0.0,50.0,798.0,593.0,804.0,603.0,800.24,597.58
14,0,15,0,Callose,1.0,0.0,60.0,868.0,595.0,876.0,607.0,871.7167,600.4667
15,0,16,0,Callose,1.0,0.0,72.0,770.0,657.0,781.0,667.0,774.6389,661.5972
16,0,17,0,Callose,1.0,0.0,41.0,839.0,689.0,846.0,697.0,841.7317,692.36584
17,0,18,0,Callose,1.0,0.0,62.0,816.0,709.0,823.0,719.0,819.1774,713.3871
18,0,19,0,Callose,1.0,0.0,28.0,778.0,780.0,784.0,786.0,780.3571,782.6071
19,0,20,0,Callose,1.0,0.0,108.0,814.0,782.0,823.0,801.0,817.8889,791.7593
20,0,21,0,Callose,1.0,0.0,33.0,808.0,914.0,814.0,921.0,810.69696,917.0909
21,0,22,0,Callose,1.0,0.0,52.0,807.0,931.0,815.0,939.0,810.5,934.5
22,0,23,0,Callose,1.0,0.0,78.0,803.0,1011.0,814.0,1021.0,807.71796,1015.9103
