object_id,timestep,labelimage_oid,User Label,Predicted Class,Probability of Callose,Probability of Label 2,Size in pixels,Bounding Box Minimum_0,Bounding Box Minimum_1,Bounding Box Maximum_0,Bounding Box Maximum_1,Center of the object_0,Center of the object_1
0,0,1,0,Callose,1.0,0.0,26.0,277.0,43.0,282.0,49.0,278.8846,45.653847
1,0,2,0,Callose,1.0,0.0,37.0,198.0,57.0,205.0,65.0,200.78378,60.324326
2,0,3,0,Callose,1.0,0.0,48.0,461.0,62.0,467.0,73.0,463.22916,67.104164
3,0,4,0,Callose,1.0,0.0,31.0,203.0,72.0,209.0,79.0,205.67741,74.935486
4,0,5,0,Callose,1.0,0.0,29.0,185.0,88.0,191.0,94.0,187.58621,90.72414
5,0,6,0,Callose,1.0,0.0,113.0,280.0,93.0,289.0,111.0,283.54868,101.21239
6,0,7,0,Callose,1.0,0.0,50.0,343.0,104.0,352.0,111.0,346.98,107.26
7,0,8,0,Callose,1.0,0.0,23.0,436.0,114.0,442.0,120.0,438.52173,117.04348
8,0,9,0,Callose,1.0,0.0,23.0,344.0,116.0,351.0,121.0,347.21738,118.08696
9,0,10,0,Callose,1.0,0.0,32.0,438.0,141.0,444.0,148.0,440.28125,143.75
10,0,11,0,Callose,1.0,0.0,45.0,458.0,157.0,465.0,165.0,461.0,160.53334
11,0,12,0,Callose,1.0,0.0,36.0,610.0,174.0,616.0,182.0,612.8611,177.38889
12,0,13,0,Callose,1.0,0.0,46.0,206.0,189.0,212.0,199.0,208.56522,193.34782
13,0,14,0,Callose,1.0,0.0,37.0,226.0,202.0,233.0,209.0,229.21622,204.91891
14,0,15,0,Callose,1.0,0.0,22.0,494.0,209.0,499.0,215.0,496.27274,211.5
15,0,16,0,Callose,1.0,0.0,157.0,448.0,217.0,461.0,236.0,454.28662,226.31847
16,0,17,0,Callose,1.0,0.0,37.0,623.0,217.0,631.0,223.0,626.7568,219.75676
17,0,18,0,Callose,1.0,0.0,32.0,299.0,222.0,307.0,227.0,302.5,224.1875
18,0,19,0,Callose,1.0,0.0,22.0,212.0,236.0,217.0,242.0,214.18182,238.72728
19,0,20,0,Callose,1.0,0.0,254.0,353.0,237.0,371.0,259.0,361.2953,246.85039
20,0,21,0,Callose,1.0,0.0,196.0,445.0,244.0,462.0,267.0,453.36224,253.4796
21,0,22,0,Callose,1.0,0.0,84.0,489.0,244.0,499.0,255.0,493.63095,249.17857
22,0,23,0,Callose,1.0,0.0,56.0,705.0,244.0,714.0,254.0,709.9107,249.01785
23,0,24,0,Callose,1.0,0.0,42.0,214.0,254.0,221.0,262.0,216.90475,257.4524
24,0,25,0,Callose,1.0,0.0,54.0,160.0,260.0,166.0,271.0,162.53703,264.92593
25,0,26,0,Callose,1.0,0.0,34.0,214.0,267.0,221.0,273.0,216.76471,269.61765
26,0,27,0,Callose,1.0,0.0,31.0,201.0,281.0,207.0,287.0,203.70967,283.4516
27,0,28,0,Callose,1.0,0.0,49.0,302.0,285.0,311.0,292.0,305.73468,287.91837
28,0,29,0,Callose,1.0,0.0,52.0,185.0,299.0,193.0,308.0,188.23077,302.73077
29,0,30,0,Callose,1.0,0.0,50.0,366.0,301.0,373.0,310.0,369.4,304.92
30,0,31,0,Callose,1.0,0.0,154.0,447.0,302.0,455.0,326.0,450.97403,313.12988
