object_id,timestep,labelimage_oid,User Label,Predicted Class,Probability of Callose,Probability of Label 2,Size in pixels,Bounding Box Minimum_0,Bounding Box Minimum_1,Bounding Box Maximum_0,Bounding Box Maximum_1,Center of the object_0,Center of the object_1
0,0,1,0,Callose,1.0,0.0,22.0,18.0,0.0,23.0,5.0,20.09091,1.7727273
1,0,2,0,Callose,1.0,0.0,61.0,163.0,12.0,171.0,22.0,166.06557,16.393442
2,0,3,0,Callose,1.0,0.0,57.0,210.0,15.0,218.0,24.0,213.4386,19.017544
3,0,4,0,Callose,1.0,0.0,35.0,145.0,34.0,151.0,41.0,147.74286,37.37143
4,0,5,0,Callose,1.0,0.0,66.0,83.0,37.0,90.0,49.0,85.90909,42.590908
5,0,6,0,Callose,1.0,0.0,23.0,266.0,44.0,272.0,49.0,268.43478,46.173912
6,0,7,0,Callose,1.0,0.0,20.0,349.0,44.0,353.0,51.0,350.45,47.4
7,0,8,0,Callose,1.0,0.0,26.0,626.0,49.0,632.0,54.0,628.3461,50.884617
8,0,9,0,Callose,1.0,0.0,57.0,231.0,57.0,237.0,69.0,233.64912,62.14035
9,0,10,0,Callose,1.0,0.0,59.0,199.0,69.0,207.0,79.0,202.49153,73.254234
10,0,11,0,Callose,1.0,0.0,23.0,321.0,70.0,326.0,76.0,322.91306,72.21739
11,0,12,0,Callose,1.0,0.0,39.0,392.0,73.0,400.0,80.0,395.35898,76.07692
12,0,13,0,Callose,1.0,0.0,80.0,651.0,97.0,658.0,113.0,654.35,104.4
13,0,14,0,Callose,1.0,0.0,51.0,216.0,98.0,225.0,107.0,220.09804,102.17647
14,0,15,0,Callose,1.0,0.0,25.0,314.0,104.0,319.0,110.0,315.96,106.4
15,0,16,0,Callose,1.0,0.0,23.0,161.0,106.0,167.0,112.0,163.60869,108.478264
16,0,17,0,Callose,1.0,0.0,40.0,452.0,107.0,459.0,116.0,454.775,110.85
17,0,18,0,Callose,1.0,0.0,33.0,21.0,124.0,27.0,131.0,23.636364,127.21212
18,0,19,0,Callose,1.0,0.0,60.0,201.0,135.0,211.0,143.0,205.95,138.16667
19,0,20,0,Callose,1.0,0.0,30.0,259.0,147.0,264.0,155.0,260.6,151.06667
20,0,21,0,Callose,1.0,0.0,35.0,209.0,156.0,216.0,163.0,211.71428,159.0
21,0,22,0,Callose,1.0,0.0,37.0,135.0,163.0,142.0,173.0,137.8108,167.94595
22,0,23,0,Callose,1.0,0.0,59.0,303.0,163.0,310.0,174.0,305.84744,168.44067
