object_id,timestep,labelimage_oid,User Label,Predicted Class,Probability of Callose,Probability of Label 2,Size in pixels,Bounding Box Minimum_0,Bounding Box Minimum_1,Bounding Box Maximum_0,Bounding Box Maximum_1,Center of the object_0,Center of the object_1
0,0,1,0,Callose,1.0,0.0,25.0,994.0,0.0,999.0,8.0,996.24,4.52
1,0,2,0,Callose,1.0,0.0,27.0,483.0,2.0,488.0,8.0,484.92593,4.5925927
2,0,3,0,Callose,1.0,0.0,49.0,408.0,16.0,415.0,28.0,411.06122,22.040817
3,0,4,0,Callose,1.0,0.0,51.0,398.0,110.0,407.0,119.0,401.7843,114.52941
4,0,5,0,Callose,1.0,0.0,31.0,647.0,114.0,653.0,121.0,649.9355,116.70968
5,0,6,0,Callose,1.0,0.0,122.0,475.0,129.0,485.0,145.0,478.9918,136.2541
6,0,7,0,Callose,1.0,0.0,72.0,397.0,148.0,406.0,159.0,400.94446,153.34723
7,0,8,0,Callose,1.0,0.0,23.0,569.0,159.0,574.0,165.0,571.2174,161.69565
8,0,9,0,Callose,1.0,0.0,74.0,969.0,167.0,978.0,178.0,972.97296,171.86487
9,0,10,0,Callose,1.0,0.0,50.0,899.0,173.0,906.0,182.0,902.22,177.04
10,0,11,0,Callose,1.0,0.0,54.0,471.0,192.0,479.0,201.0,474.25925,195.98148
11,0,12,0,Callose,1.0,0.0,20.0,726.0,199.0,730.0,206.0,727.1,202.35
12,0,13,0,Callose,1.0,0.0,117.0,709.0,232.0,719.0,246.0,713.6068,238.91454
13,0,14,0,Callose,1.0,0.0,20.0,471.0,235.0,477.0,240.0,473.5,237.05
14,0,15,0,Callose,1.0,0.0,29.0,393.0,238.0,400.0,244.0,396.0,240.10345
15,0,16,0,Callose,1.0,0.0,87.0,926.0,246.0,934.0,259.0,929.5977,251.93103
16,0,17,0,Callose,1.0,0.0,119.0,467.0,257.0,477.0,271.0,471.34454,263.6891
17,0,18,0,Callose,1.0,0.0,112.0,389.0,263.0,399.0,277.0,393.7857,269.63394
18,0,19,0,Callose,1.0,0.0,31.0,930.0,269.0,936.0,275.0,932.5484,271.58066
19,0,20,0,Callose,1.0,0.0,25.0,310.0,271.0,316.0,276.0,312.24,272.8
20,0,21,0,Callose,1.0,0.0,35.0,769.0,290.0,775.0,297.0,771.65717,292.94287
21,0,22,0,Callose,1.0,0.0,66.0,853.0,303.0,862.0,313.0,857.1818,307.24243
22,0,23,0,Callose,1.0,0.0,58.0,960.0,309.0,967.0,320.0,962.89655,314.0345
23,0,24,0,Callose,1.0,0.0,135.0,458.0,325.0,468.0,342.0,462.58517,332.97037
24,0,25,0,Callose,1.0,0.0,64.0,498.0,329.0,508.0,340.0,501.8125,333.79688
25,0,26,0,Callose,1.0,0.0,128.0,694.0,330.0,706.0,344.0,699.7656,336.5703
26,0,27,0,Callose,1.0,0.0,61.0,552.0,334.0,560.0,344.0,555.40985,338.44263
27,0,28,0,Callose,1.0,0.0,72.0,913.0,334.0,920.0,349.0,915.9583,341.56946
28,0,29,0,Callose,1.0,0.0,32.0,378.0,350.0,384.0,356.0,380.5,352.5
29,0,30,0,Callose,1.0,0.0,69.0,754.0,353.0,765.0,363.0,759.71014,357.24637
30,0,31,0,Callose,1.0,0.0,42.0,990.0,355.0,996.0,365.0,992.0714,359.2381
31,0,32,0,Callose,1.0,0.0,37.0,910.0,366.0,916.0,374.0,912.0541,369.83783
32,0,33,0,Callose,1.0,0.0,83.0,455.0,369.0,463.0,386.0,458.78314,376.56625
33,0,34,0,Callose,1.0,0.0,41.0,943.0,375.0,954.0,380.0,947.85364,376.80487
34,0,35,0,Callose,1.0,0.0,40.0,962.0,377.0,969.0,385.0,964.575,380.375
35,0,36,0,Callose,1.0,0.0,134.0,839.0,380.0,848.0,400.0,842.791,388.67163
36,0,37,0,Callose,1.0,0.0,94.0,627.0,381.0,639.0,392.0,633.0851,386.71277
37,0,38,0,Callose,1.0,0.0,70.0,689.0,394.0,698.0,405.0,692.95715,398.54285
38,0,39,0,Callose,1.0,0.0,42.0,499.0,395.0,506.0,403.0,502.0476,398.6905
39,0,40,0,Callose,1.0,0.0,24.0,291.0,397.0,297.0,401.0,293.5,398.5
40,0,41,0,Callose,1.0,0.0,33.0,984.0,410.0,990.0,417.0,986.42426,412.9394
41,0,42,0,Callose,1.0,0.0,62.0,815.0,423.0,823.0,433.0,818.5968,427.40323
42,0,43,0,Callose,1.0,0.0,34.0,696.0,424.0,703.0,430.0,699.2941,426.5
43,0,44,0,Callose,1.0,0.0,71.0,372.0,429.0,379.0,442.0,374.9859,435.46478
44,0,45,0,Callose,1.0,0.0,64.0,498.0,448.0,506.0,458.0,501.39062,452.6875
45,0,46,0,Callose,1.0,0.0,37.0,734.0,452.0,741.0,460.0,736.8378,455.4054
46,0,47,0,Callose,1.0,0.0,50.0,937.0,452.0,945.0,461.0,940.38,456.16
47,0,48,0,Callose,1.0,0.0,32.0,475.0,459.0,482.0,466.0,477.6875,462.0
48,0,49,0,Callose,1.0,0.0,39.0,904.0,462.0,911.0,470.0,907.1795,465.20514
49,0,50,0,Callose,1.0,0.0,54.0,442.0,465.0,452.0,474.0,446.75925,469.07407
50,0,51,0,Callose,1.0,0.0,142.0,987.0,468.0,999.0,483.0,992.3521,474.73944
51,0,52,0,Callose,1.0,0.0,137.0,972.0,484.0,985.0,498.0,977.7664,490.0219
52,0,53,0,Callose,1.0,0.0,27.0,547.0,485.0,553.0,491.0,549.8148,487.81482
53,0,54,0,Callose,1.0,0.0,154.0,368.0,489.0,379.0,507.0,372.87662,497.2143
54,0,55,0,Callose,1.0,0.0,24.0,449.0,489.0,455.0,495.0,451.95834,491.0
