object_id,timestep,labelimage_oid,User Label,Predicted Class,Probability of Callose,Probability of Label 2,Size in pixels,Bounding Box Minimum_0,Bounding Box Minimum_1,Bounding Box Maximum_0,Bounding Box Maximum_1,Center of the object_0,Center of the object_1
0,0,1,0,Callose,1.0,0.0,22.0,89.0,3.0,96.0,8.0,91.86364,4.7727275
1,0,2,0,Callose,1.0,0.0,48.0,262.0,12.0,268.0,24.0,264.45834,17.25
2,0,3,0,Callose,1.0,0.0,45.0,207.0,20.0,212.0,30.0,209.02222,24.222221
3,0,4,0,Callose,1.0,0.0,47.0,142.0,21.0,150.0,28.0,145.57446,24.06383
4,0,5,0,Callose,1.0,0.0,46.0,8.0,27.0,18.0,33.0,11.978261,29.347826
5,0,6,0,Callose,1.0,0.0,188.0,175.0,32.0,191.0,51.0,181.59042,41.223404
6,0,7,0,Callose,1.0,0.0,73.0,245.0,34.0,251.0,51.0,247.57535,41.356163
7,0,8,0,Callose,1.0,0.0,25.0,731.0,38.0,737.0,46.0,733.48,41.72
8,0,9,0,Callose,1.0,0.0,37.0,735.0,45.0,743.0,53.0,738.5405,48.7027
9,0,10,0,Callose,1.0,0.0,21.0,295.0,50.0,300.0,56.0,296.7619,52.61905
10,0,11,0,Callose,1.0,0.0,26.0,48.0,58.0,54.0,64.0,50.423077,61.076923
11,0,12,0,Callose,1.0,0.0,43.0,25.0,61.0,33.0,69.0,28.348837,64.60465
12,0,13,0,Callose,1.0,0.0,20.0,699.0,63.0,704.0,68.0,700.95,64.75
13,0,14,0,Callose,1.0,0.0,20.0,143.0,69.0,149.0,73.0,145.5,70.5
14,0,15,0,Callose,1.0,0.0,30.0,261.0,69.0,267.0,75.0,263.8,71.26667
15,0,16,0,Callose,1.0,0.0,28.0,60.0,70.0,65.0,77.0,61.82143,72.78571
16,0,17,0,Callose,1.0,0.0,109.0,216.0,73.0,223.0,91.0,218.97247,81.44037
17,0,18,0,Callose,1.0,0.0,41.0,247.0,76.0,254.0,84.0,249.70732,79.60976
18,0,19,0,Callose,1.0,0.0,41.0,44.0,78.0,52.0,85.0,47.0,81.46342
19,0,20,0,Callose,1.0,0.0,58.0,95.0,83.0,102.0,96.0,98.55173,88.413795
20,0,21,0,Callose,1.0,0.0,30.0,169.0,92.0,175.0,99.0,171.2,95.166664
21,0,22,0,Callose,1.0,0.0,47.0,249.0,93.0,256.0,104.0,251.89362,98.14893
22,0,23,0,Callose,1.0,0.0,20.0,278.0,97.0,283.0,103.0,279.7,99.85
23,0,24,0,Callose,1.0,0.0,26.0,381.0,97.0,387.0,102.0,383.5,99.0
24,0,25,0,Callose,1.0,0.0,59.0,669.0,108.0,679.0,117.0,673.661,111.169495
25,0,26,0,Callose,1.0,0.0,36.0,208.0,110.0,213.0,118.0,210.0,113.5
26,0,27,0,Callose,1.0,0.0,22.0,287.0,111.0,293.0,115.0,289.72726,112.5
27,0,28,0,Callose,1.0,0.0,62.0,176.0,112.0,185.0,121.0,179.7742,115.645164
28,0,29,0,Callose,1.0,0.0,33.0,139.0,113.0,145.0,120.0,141.54546,115.90909
29,0,30,0,Callose,1.0,0.0,39.0,383.0,117.0,389.0,125.0,385.43588,120.4359
30,0,31,0,Callose,1.0,0.0,28.0,614.0,121.0,621.0,126.0,616.9286,123.07143
31,0,32,0,Callose,1.0,0.0,35.0,179.0,128.0,186.0,134.0,181.94286,130.57143
32,0,33,0,Callose,1.0,0.0,52.0,4.0,129.0,10.0,140.0,6.5576925,133.71153
33,0,34,0,Callose,1.0,0.0,43.0,167.0,129.0,173.0,137.0,169.44186,132.44186
34,0,35,0,Callose,1.0,0.0,62.0,38.0,132.0,48.0,141.0,43.032257,135.7742
35,0,36,0,Callose,1.0,0.0,49.0,676.0,133.0,685.0,144.0,679.69385,137.61224
36,0,37,0,Callose,1.0,0.0,34.0,242.0,141.0,248.0,148.0,244.76471,143.88235
37,0,38,0,Callose,1.0,0.0,56.0,202.0,143.0,210.0,152.0,205.60715,147.23215
38,0,39,0,Callose,1.0,0.0,61.0,177.0,145.0,189.0,157.0,182.44263,150.2623
39,0,40,0,Callose,1.0,0.0,105.0,254.0,149.0,264.0,163.0,258.6381,155.49524
40,0,41,0,Callose,1.0,0.0,40.0,195.0,154.0,201.0,162.0,197.575,157.65
41,0,42,0,Callose,1.0,0.0,54.0,524.0,158.0,530.0,170.0,526.7407,163.61111
42,0,43,0,Callose,1.0,0.0,53.0,168.0,161.0,178.0,169.0,172.24529,164.86792
43,0,44,0,Callose,1.0,0.0,72.0,205.0,166.0,213.0,178.0,208.88889,170.95833
44,0,45,0,Callose,1.0,0.0,56.0,140.0,169.0,147.0,179.0,143.25,172.89285
45,0,46,0,Callose,1.0,0.0,57.0,16.0,174.0,23.0,183.0,19.087719,178.1228
46,0,47,0,Callose,1.0,0.0,113.0,680.0,178.0,689.0,193.0,684.1593,184.71681
47,0,48,0,Callose,1.0,0.0,24.0,706.0,184.0,712.0,189.0,708.4167,186.29167
48,0,49,0,Callose,1.0,0.0,33.0,364.0,185.0,369.0,194.0,366.15152,188.87878
49,0,50,0,Callose,1.0,0.0,25.0,474.0,199.0,480.0,205.0,476.56,201.68
50,0,51,0,Callose,1.0,0.0,49.0,90.0,200.0,96.0,211.0,92.938774,205.7551
51,0,52,0,Callose,1.0,0.0,56.0,168.0,200.0,177.0,208.0,172.01785,203.19643
52,0,53,0,Callose,1.0,0.0,61.0,276.0,207.0,284.0,217.0,279.60657,211.55737
53,0,54,0,Callose,1.0,0.0,73.0,36.0,214.0,43.0,229.0,38.63014,220.87671
54,0,55,0,Callose,1.0,0.0,99.0,315.0,214.0,324.0,228.0,318.39395,220.19193
55,0,56,0,Callose,1.0,0.0,59.0,176.0,216.0,184.0,225.0,179.67796,219.72882
56,0,57,0,Callose,1.0,0.0,39.0,723.0,219.0,729.0,228.0,725.38464,222.97437
57,0,58,0,Callose,1.0,0.0,34.0,188.0,228.0,195.0,234.0,191.17647,230.61765
58,0,59,0,Callose,1.0,0.0,44.0,141.0,231.0,150.0,237.0,145.34091,233.65909
59,0,60,0,Callose,1.0,0.0,76.0,231.0,233.0,239.0,245.0,234.72368,238.26315
60,0,61,0,Callose,1.0,0.0,33.0,322.0,240.0,328.0,248.0,324.78787,243.36363
61,0,62,0,Callose,1.0,0.0,38.0,499.0,241.0,505.0,249.0,501.55264,244.6579
62,0,63,0,Callose,1.0,0.0,71.0,657.0,242.0,666.0,252.0,660.85913,246.35211
63,0,64,0,Callose,1.0,0.0,39.0,58.0,244.0,64.0,253.0,60.205128,247.82051
64,0,65,0,Callose,1.0,0.0,52.0,389.0,250.0,398.0,259.0,393.1346,253.6923
65,0,66,0,Callose,1.0,0.0,45.0,750.0,254.0,756.0,264.0,752.04443,257.95557
66,0,67,0,Callose,1.0,0.0,21.0,707.0,263.0,713.0,268.0,709.7143,265.0476
67,0,68,0,Callose,1.0,0.0,60.0,254.0,267.0,262.0,277.0,257.33334,271.35
68,0,69,0,Callose,1.0,0.0,51.0,599.0,267.0,607.0,276.0,601.94116,271.60785
69,0,70,0,Callose,1.0,0.0,32.0,347.0,269.0,353.0,276.0,349.53125,271.78125
70,0,71,0,Callose,1.0,0.0,35.0,698.0,271.0,704.0,278.0,700.5714,274.05713
71,0,72,0,Callose,1.0,0.0,59.0,669.0,274.0,679.0,282.0,673.0678,277.339
72,0,73,0,Callose,1.0,0.0,45.0,193.0,285.0,199.0,296.0,195.97778,290.77777
73,0,74,0,Callose,1.0,0.0,45.0,180.0,299.0,187.0,308.0,182.86667,303.0889
74,0,75,0,Callose,1.0,0.0,42.0,646.0,300.0,654.0,307.0,649.5,303.33334
75,0,76,0,Callose,1.0,0.0,33.0,223.0,302.0,229.0,309.0,225.69698,304.75757
76,0,77,0,Callose,1.0,0.0,67.0,156.0,304.0,165.0,314.0,160.04477,308.14926
77,0,78,0,Callose,1.0,0.0,48.0,135.0,306.0,143.0,314.0,138.6875,309.54166
78,0,79,0,Callose,1.0,0.0,43.0,76.0,307.0,82.0,316.0,78.325584,311.06976
79,0,80,0,Callose,1.0,0.0,39.0,173.0,315.0,180.0,323.0,175.6923,318.33334
80,0,81,0,Callose,1.0,0.0,32.0,354.0,318.0,361.0,325.0,356.8125,321.28125
81,0,82,0,Callose,1.0,0.0,54.0,522.0,324.0,529.0,335.0,525.2778,328.87036
82,0,83,0,Callose,1.0,0.0,40.0,190.0,326.0,197.0,333.0,192.95,329.075
83,0,84,0,Callose,1.0,0.0,44.0,151.0,332.0,157.0,341.0,153.61363,336.02274
84,0,85,0,Callose,1.0,0.0,44.0,138.0,337.0,144.0,346.0,140.40909,341.1591
85,0,86,0,Callose,1.0,0.0,32.0,265.0,337.0,270.0,345.0,266.875,340.5
86,0,87,0,Callose,1.0,0.0,60.0,340.0,340.0,346.0,354.0,342.95,345.75
87,0,88,0,Callose,1.0,0.0,37.0,651.0,340.0,658.0,347.0,653.7027,343.0
88,0,89,0,Callose,1.0,0.0,48.0,374.0,345.0,382.0,353.0,377.70834,348.5625
89,0,90,0,Callose,1.0,0.0,68.0,245.0,358.0,253.0,370.0,248.20589,363.55884
90,0,91,0,Callose,1.0,0.0,32.0,130.0,364.0,135.0,371.0,132.0625,367.09375
91,0,92,0,Callose,1.0,0.0,38.0,636.0,366.0,642.0,374.0,638.4737,369.3158
92,0,93,0,Callose,1.0,0.0,86.0,685.0,366.0,694.0,380.0,688.6163,372.89536
93,0,94,0,Callose,1.0,0.0,46.0,167.0,367.0,176.0,374.0,170.86957,370.17392
94,0,95,0,Callose,1.0,0.0,79.0,658.0,367.0,667.0,378.0,662.2785,371.68353
95,0,96,0,Callose,1.0,0.0,37.0,285.0,372.0,292.0,379.0,288.24326,375.24326
96,0,97,0,Callose,1.0,0.0,28.0,180.0,385.0,186.0,392.0,182.53572,388.2857
97,0,98,0,Callose,1.0,0.0,21.0,651.0,392.0,657.0,397.0,653.0952,394.09525
98,0,99,0,Callose,1.0,0.0,65.0,332.0,401.0,338.0,415.0,334.46155,407.52307
99,0,100,0,Callose,1.0,0.0,57.0,171.0,402.0,181.0,412.0,175.66667,406.0877
100,0,101,0,Callose,1.0,0.0,32.0,150.0,408.0,157.0,414.0,153.1875,410.28125
101,0,102,0,Callose,1.0,0.0,52.0,215.0,417.0,223.0,426.0,218.32692,420.6346
102,0,103,0,Callose,1.0,0.0,60.0,58.0,418.0,65.0,432.0,61.05,423.98334
103,0,104,0,Callose,1.0,0.0,41.0,302.0,421.0,309.0,429.0,305.02438,424.5122
104,0,105,0,Callose,1.0,0.0,58.0,633.0,425.0,642.0,434.0,636.5862,429.0
105,0,106,0,Callose,1.0,0.0,24.0,245.0,428.0,250.0,434.0,247.125,430.66666
106,0,107,0,Callose,1.0,0.0,44.0,394.0,428.0,400.0,437.0,396.43182,432.13635
107,0,108,0,Callose,1.0,0.0,52.0,420.0,428.0,427.0,437.0,422.84616,432.09616
108,0,109,0,Callose,1.0,0.0,38.0,132.0,431.0,138.0,439.0,134.5,434.60526
109,0,110,0,Callose,1.0,0.0,36.0,182.0,432.0,189.0,439.0,184.66667,434.77777
110,0,111,0,Callose,1.0,0.0,33.0,569.0,434.0,576.0,443.0,571.48486,438.39395
111,0,112,0,Callose,1.0,0.0,31.0,287.0,440.0,294.0,446.0,290.0645,442.32257
112,0,113,0,Callose,1.0,0.0,33.0,623.0,441.0,631.0,446.0,626.7879,443.0606
113,0,114,0,Callose,1.0,0.0,47.0,234.0,444.0,240.0,454.0,236.76596,448.40427
114,0,115,0,Callose,1.0,0.0,42.0,330.0,445.0,337.0,452.0,332.92856,447.92856
115,0,116,0,Callose,1.0,0.0,45.0,361.0,450.0,369.0,457.0,364.6889,453.04443
116,0,117,0,Callose,1.0,0.0,83.0,335.0,468.0,348.0,478.0,340.494,472.59036
117,0,118,0,Callose,1.0,0.0,103.0,665.0,475.0,675.0,489.0,670.0194,481.4563
118,0,119,0,Callose,1.0,0.0,43.0,166.0,479.0,173.0,488.0,168.93024,482.88373
119,0,120,0,Callose,1.0,0.0,52.0,125.0,494.0,134.0,502.0,128.9423,497.48077
120,0,121,0,Callose,1.0,0.0,43.0,531.0,494.0,540.0,501.0,534.81396,497.06976
121,0,122,0,Callose,1.0,0.0,46.0,617.0,501.0,626.0,507.0,620.86957,503.5
122,0,123,0,Callose,1.0,0.0,51.0,688.0,503.0,697.0,510.0,692.41174,506.01962
