object_id,timestep,labelimage_oid,User Label,Predicted Class,Probability of Callose,Probability of Label 2,Size in pixels,Bounding Box Minimum_0,Bounding Box Minimum_1,Bounding Box Maximum_0,Bounding Box Maximum_1,Center of the object_0,Center of the object_1
0,0,1,0,Callose,1.0,0.0,34.0,959.0,0.0,966.0,6.0,961.85297,2.6764705
1,0,2,0,Callose,1.0,0.0,37.0,745.0,3.0,752.0,10.0,747.86487,5.864865
2,0,3,0,Callose,1.0,0.0,32.0,792.0,30.0,798.0,38.0,794.3125,33.6875
3,0,4,0,Callose,1.0,0.0,30.0,885.0,57.0,889.0,66.0,886.36664,60.6
4,0,5,0,Callose,1.0,0.0,23.0,781.0,167.0,786.0,173.0,783.13043,169.78261
5,0,6,0,Callose,1.0,0.0,48.0,815.0,206.0,820.0,217.0,817.0417,211.47917
6,0,7,0,Callose,1.0,0.0,48.0,359.0,212.0,365.0,222.0,361.5625,216.72917
7,0,8,0,Callose,1.0,0.0,74.0,776.0,340.0,785.0,356.0,779.3378,347.7027
8,0,9,0,Callose,1.0,0.0,66.0,295.0,400.0,304.0,412.0,299.51514,405.42426
9,0,10,0,Callose,1.0,0.0,58.0,751.0,404.0,758.0,415.0,753.89655,409.2586
10,0,11,0,Callose,1.0,0.0,31.0,752.0,426.0,758.0,433.0,754.871,429.2258
11,0,12,0,Callose,1.0,0.0,30.0,892.0,447.0,898.0,455.0,894.76666,450.9
12,0,13,0,Callose,1.0,0.0,28.0,366.0,448.0,370.0,456.0,367.39285,451.2857
13,0,14,0,Callose,1.0,0.0,55.0,776.0,552.0,785.0,563.0,779.92725,556.6727
14,0,15,0,Callose,1.0,0.0,20.0,297.0,561.0,302.0,567.0,298.5,564.15
15,0,16,0,Callose,1.0,0.0,27.0,756.0,596.0,762.0,602.0,758.4074,598.37036
16,0,17,0,Callose,1.0,0.0,21.0,366.0,622.0,371.0,628.0,367.7619,624.8095
17,0,18,0,Callose,1.0,0.0,54.0,756.0,678.0,766.0,688.0,760.3889,683.1667
18,0,19,0,Callose,1.0,0.0,41.0,290.0,690.0,298.0,697.0,293.68292,693.04877
19,0,20,0,Callose,1.0,0.0,49.0,778.0,753.0,784.0,767.0,780.4898,759.449
20,0,21,0,Callose,1.0,0.0,42.0,996.0,757.0,1001.0,769.0,997.5238,761.619
21,0,22,0,Callose,1.0,0.0,39.0,971.0,769.0,978.0,776.0,974.0,771.89746
22,0,23,0,Callose,1.0,0.0,70.0,294.0,790.0,301.0,804.0,297.2857,796.82855
23,0,24,0,Callose,1.0,0.0,298.0,825.0,829.0,875.0,838.0,847.5772,832.7282
24,0,25,0,Callose,1.0,0.0,740.0,876.0,835.0,982.0,852.0,925.1243,844.2365
25,0,26,0,Callose,1.0,0.0,91.0,984.0,844.0,1001.0,853.0,991.2967,848.6923
26,0,27,0,Callose,1.0,0.0,54.0,747.0,849.0,755.0,859.0,751.0741,853.0185
27,0,28,0,Callose,1.0,0.0,50.0,1016.0,850.0,1024.0,858.0,1020.08,853.06
28,0,29,0,Callose,1.0,0.0,58.0,924.0,890.0,931.0,902.0,926.9138,895.4483
29,0,30,0,Callose,1.0,0.0,52.0,262.0,895.0,270.0,904.0,265.42307,899.0769
30,0,31,0,Callose,1.0,0.0,24.0,749.0,931.0,755.0,936.0,751.7083,932.7083
31,0,32,0,Callose,1.0,0.0,45.0,749.0,945.0,756.0,953.0,751.95557,948.6667
32,0,33,0,Callose,1.0,0.0,60.0,309.0,947.0,315.0,960.0,311.36667,953.2167
33,0,34,0,Callose,1.0,0.0,25.0,786.0,1017.0,791.0,1024.0,787.88,1020.2
