object_id,timestep,labelimage_oid,User Label,Predicted Class,Probability of Callose,Probability of Label 2,Size in pixels,Bounding Box Minimum_0,Bounding Box Minimum_1,Bounding Box Maximum_0,Bounding Box Maximum_1,Center of the object_0,Center of the object_1
0,0,1,0,Callose,1.0,0.0,48.0,729.0,6.0,737.0,15.0,733.0,10.5
1,0,2,0,Callose,1.0,0.0,46.0,408.0,7.0,416.0,15.0,411.73914,10.847826
2,0,3,0,Callose,1.0,0.0,52.0,678.0,12.0,685.0,22.0,681.13464,16.134615
3,0,4,0,Callose,1.0,0.0,132.0,749.0,22.0,762.0,35.0,754.9545,28.795454
4,0,5,0,Callose,1.0,0.0,51.0,594.0,46.0,602.0,54.0,597.3137,49.588234
5,0,6,0,Callose,1.0,0.0,24.0,315.0,62.0,321.0,67.0,317.66666,64.0
6,0,7,0,Callose,1.0,0.0,102.0,850.0,71.0,862.0,84.0,855.65686,77.039215
7,0,8,0,Callose,1.0,0.0,53.0,575.0,78.0,583.0,86.0,578.8679,81.35849
8,0,9,0,Callose,1.0,0.0,54.0,741.0,82.0,748.0,92.0,744.2222,86.51852
9,0,10,0,Callose,1.0,0.0,80.0,621.0,99.0,628.0,113.0,624.0,106.05
10,0,11,0,Callose,1.0,0.0,143.0,714.0,102.0,726.0,119.0,719.035,109.92308
11,0,12,0,Callose,1.0,0.0,23.0,949.0,106.0,954.0,112.0,950.65216,108.304344
12,0,13,0,Callose,1.0,0.0,30.0,571.0,128.0,577.0,136.0,573.3333,131.5
13,0,14,0,Callose,1.0,0.0,32.0,841.0,136.0,846.0,146.0,842.5625,141.03125
14,0,15,0,Callose,1.0,0.0,77.0,686.0,138.0,696.0,149.0,690.4026,142.80519
15,0,16,0,Callose,1.0,0.0,58.0,573.0,143.0,582.0,152.0,576.9828,146.82759
16,0,17,0,Callose,1.0,0.0,145.0,734.0,146.0,745.0,163.0,738.63446,153.95172
17,0,18,0,Callose,1.0,0.0,24.0,613.0,158.0,617.0,165.0,614.5,161.0
18,0,19,0,Callose,1.0,0.0,165.0,734.0,168.0,748.0,188.0,741.1394,179.45454
19,0,20,0,Callose,1.0,0.0,73.0,657.0,174.0,665.0,186.0,660.52057,179.30138
20,0,21,0,Callose,1.0,0.0,90.0,553.0,175.0,563.0,186.0,557.4,180.06667
21,0,22,0,Callose,1.0,0.0,50.0,526.0,184.0,533.0,193.0,529.06,187.96
22,0,23,0,Callose,1.0,0.0,45.0,881.0,188.0,888.0,196.0,883.91113,191.62222
23,0,24,0,Callose,1.0,0.0,185.0,658.0,210.0,670.0,232.0,663.1784,220.9946
24,0,25,0,Callose,1.0,0.0,41.0,820.0,225.0,827.0,237.0,823.0732,230.95122
25,0,26,0,Callose,1.0,0.0,82.0,546.0,233.0,555.0,245.0,550.0732,238.45122
26,0,27,0,Callose,1.0,0.0,105.0,655.0,242.0,664.0,256.0,659.0381,248.4762
27,0,28,0,Callose,1.0,0.0,24.0,435.0,254.0,441.0,259.0,437.33334,256.125
28,0,29,0,Callose,1.0,0.0,31.0,412.0,260.0,418.0,270.0,414.03226,264.32257
29,0,30,0,Callose,1.0,0.0,98.0,708.0,261.0,718.0,274.0,712.38776,266.66327
30,0,31,0,Callose,1.0,0.0,33.0,29.0,267.0,33.0,279.0,30.212122,272.75757
31,0,32,0,Callose,1.0,0.0,162.0,541.0,272.0,553.0,293.0,546.6975,280.8642
32,0,33,0,Callose,1.0,0.0,123.0,822.0,280.0,833.0,295.0,826.82117,286.3008
33,0,34,0,Callose,1.0,0.0,89.0,727.0,290.0,738.0,302.0,731.69666,295.01123
34,0,35,0,Callose,1.0,0.0,40.0,503.0,301.0,509.0,311.0,505.325,305.45
35,0,36,0,Callose,1.0,0.0,50.0,398.0,307.0,405.0,317.0,401.3,311.04
36,0,37,0,Callose,1.0,0.0,38.0,459.0,317.0,468.0,324.0,462.60526,319.8158
37,0,38,0,Callose,1.0,0.0,166.0,715.0,324.0,727.0,343.0,720.6566,332.74698
38,0,39,0,Callose,1.0,0.0,56.0,442.0,339.0,450.0,348.0,445.5893,343.25
39,0,40,0,Callose,1.0,0.0,122.0,498.0,343.0,509.0,359.0,502.4918,349.84427
40,0,41,0,Callose,1.0,0.0,26.0,544.0,360.0,549.0,368.0,545.6923,364.15384
41,0,42,0,Callose,1.0,0.0,54.0,568.0,361.0,575.0,372.0,570.96295,366.42593
42,0,43,0,Callose,1.0,0.0,45.0,595.0,376.0,600.0,386.0,597.0222,380.4
43,0,44,0,Callose,1.0,0.0,113.0,353.0,390.0,366.0,402.0,358.53983,394.69028
44,0,45,0,Callose,1.0,0.0,31.0,274.0,392.0,278.0,401.0,275.64517,395.96774
45,0,46,0,Callose,1.0,0.0,62.0,522.0,394.0,531.0,403.0,526.5,398.0645
46,0,47,0,Callose,1.0,0.0,42.0,706.0,402.0,714.0,409.0,709.1905,404.9762
47,0,48,0,Callose,1.0,0.0,138.0,799.0,415.0,814.0,429.0,805.39856,421.38406
48,0,49,0,Callose,1.0,0.0,56.0,523.0,425.0,532.0,433.0,526.6607,429.05356
49,0,50,0,Callose,1.0,0.0,110.0,312.0,426.0,324.0,439.0,317.55453,431.94547
50,0,51,0,Callose,1.0,0.0,58.0,419.0,439.0,426.0,450.0,422.48276,444.2069
51,0,52,0,Callose,1.0,0.0,81.0,661.0,441.0,669.0,453.0,664.62964,446.5679
52,0,53,0,Callose,1.0,0.0,143.0,705.0,451.0,716.0,468.0,709.6923,458.75525
53,0,54,0,Callose,1.0,0.0,51.0,459.0,457.0,468.0,465.0,462.7843,460.98038
54,0,55,0,Callose,1.0,0.0,47.0,526.0,461.0,532.0,471.0,528.7659,465.82977
55,0,56,0,Callose,1.0,0.0,34.0,499.0,464.0,506.0,471.0,502.20587,466.91177
56,0,57,0,Callose,1.0,0.0,96.0,574.0,472.0,583.0,486.0,577.6042,478.1771
57,0,58,0,Callose,1.0,0.0,35.0,265.0,475.0,272.0,482.0,268.51428,477.82858
