object_id,timestep,labelimage_oid,User Label,Predicted Class,Probability of Callose,Probability of Label 2,Size in pixels,Bounding Box Minimum_0,Bounding Box Minimum_1,Bounding Box Maximum_0,Bounding Box Maximum_1,Center of the object_0,Center of the object_1
0,0,1,0,Callose,1.0,0.0,41.0,620.0,3.0,626.0,11.0,622.7561,6.414634
1,0,2,0,Callose,1.0,0.0,27.0,556.0,16.0,562.0,24.0,558.7407,19.555555
2,0,3,0,Callose,1.0,0.0,60.0,626.0,64.0,635.0,74.0,630.11664,68.666664
3,0,4,0,Callose,1.0,0.0,56.0,560.0,89.0,567.0,100.0,562.9107,94.10714
4,0,5,0,Callose,1.0,0.0,46.0,583.0,174.0,592.0,181.0,587.73914,177.36957
5,0,6,0,Callose,1.0,0.0,55.0,622.0,183.0,628.0,196.0,624.41815,188.47273
6,0,7,0,Callose,1.0,0.0,48.0,580.0,247.0,588.0,257.0,583.4167,252.02083
7,0,8,0,Callose,1.0,0.0,74.0,624.0,368.0,631.0,382.0,626.93243,374.9054
8,0,9,0,Callose,1.0,0.0,28.0,539.0,407.0,544.0,414.0,540.9286,409.7143
9,0,10,0,Callose,1.0,0.0,38.0,620.0,513.0,626.0,521.0,622.6316,516.3421
10,0,11,0,Callose,1.0,0.0,56.0,620.0,542.0,627.0,553.0,623.0536,546.9643
11,0,12,0,Callose,1.0,0.0,31.0,538.0,592.0,542.0,600.0,539.4516,595.6129
12,0,13,0,Callose,1.0,0.0,34.0,526.0,701.0,532.0,708.0,528.2353,704.1177
13,0,14,0,Callose,1.0,0.0,29.0,525.0,714.0,530.0,721.0,526.89655,716.8276
14,0,15,0,Callose,1.0,0.0,57.0,529.0,871.0,534.0,883.0,530.9649,876.5789
15,0,16,0,Callose,1.0,0.0,62.0,541.0,936.0,549.0,946.0,544.3387,940.371
