object_id,timestep,labelimage_oid,User Label,Predicted Class,Probability of Callose,Probability of Label 2,Size in pixels,Bounding Box Minimum_0,Bounding Box Minimum_1,Bounding Box Maximum_0,Bounding Box Maximum_1,Center of the object_0,Center of the object_1
0,0,1,0,Callose,1.0,0.0,48.0,341.0,40.0,346.0,52.0,342.54166,45.833332
1,0,2,0,Callose,1.0,0.0,31.0,531.0,61.0,536.0,68.0,533.0,64.16129
2,0,3,0,Callose,1.0,0.0,107.0,608.0,165.0,618.0,180.0,612.03735,171.9159
3,0,4,0,Callose,1.0,0.0,75.0,423.0,180.0,434.0,190.0,427.52,185.18666
4,0,5,0,Callose,1.0,0.0,61.0,525.0,181.0,533.0,190.0,528.4426,184.95082
5,0,6,0,Callose,1.0,0.0,32.0,433.0,228.0,439.0,235.0,435.46875,230.96875
6,0,7,0,Callose,1.0,0.0,40.0,542.0,276.0,549.0,284.0,544.8,279.5
7,0,8,0,Callose,1.0,0.0,45.0,395.0,292.0,403.0,299.0,398.33334,294.86667
8,0,9,0,Callose,1.0,0.0,110.0,723.0,316.0,733.0,331.0,727.66364,322.81818
9,0,10,0,Callose,1.0,0.0,46.0,389.0,317.0,397.0,324.0,392.28262,320.1087
10,0,11,0,Callose,1.0,0.0,28.0,535.0,331.0,541.0,337.0,537.0357,333.57144
11,0,12,0,Callose,1.0,0.0,33.0,673.0,337.0,678.0,345.0,674.8485,340.57574
12,0,13,0,Callose,1.0,0.0,92.0,451.0,346.0,459.0,360.0,454.67392,352.58694
13,0,14,0,Callose,1.0,0.0,31.0,308.0,379.0,317.0,388.0,313.1613,383.1613
14,0,15,0,Callose,1.0,0.0,45.0,719.0,394.0,726.0,402.0,722.42224,397.46667
15,0,16,0,Callose,1.0,0.0,33.0,269.0,453.0,274.0,461.0,270.9394,456.78787
16,0,17,0,Callose,1.0,0.0,68.0,869.0,463.0,878.0,476.0,872.67645,469.58823
17,0,18,0,Callose,1.0,0.0,42.0,814.0,465.0,823.0,473.0,817.7143,467.90475
18,0,19,0,Callose,1.0,0.0,32.0,459.0,473.0,464.0,482.0,461.15625,477.125
19,0,20,0,Callose,1.0,0.0,66.0,285.0,479.0,295.0,488.0,289.31818,483.51514
20,0,21,0,Callose,1.0,0.0,25.0,522.0,512.0,527.0,518.0,523.8,514.44
21,0,22,0,Callose,1.0,0.0,46.0,450.0,528.0,457.0,536.0,453.1087,531.36957
22,0,23,0,Callose,1.0,0.0,85.0,776.0,528.0,787.0,539.0,780.84705,532.97644
23,0,24,0,Callose,1.0,0.0,60.0,615.0,537.0,622.0,547.0,618.15,541.5
24,0,25,0,Callose,1.0,0.0,31.0,743.0,569.0,748.0,577.0,745.0968,572.3871
25,0,26,0,Callose,1.0,0.0,62.0,815.0,593.0,824.0,602.0,819.24194,596.9677
26,0,27,0,Callose,1.0,0.0,97.0,328.0,612.0,339.0,623.0,332.72165,617.13403
27,0,28,0,Callose,1.0,0.0,98.0,283.0,621.0,294.0,633.0,288.38776,626.88776
28,0,29,0,Callose,1.0,0.0,27.0,0.0,627.0,5.0,633.0,2.0370371,629.4074
29,0,30,0,Callose,1.0,0.0,26.0,41.0,634.0,46.0,640.0,43.0,636.5
30,0,31,0,Callose,1.0,0.0,55.0,952.0,644.0,961.0,652.0,956.2,647.7636
31,0,32,0,Callose,1.0,0.0,47.0,875.0,649.0,882.0,657.0,877.8298,652.55316
32,0,33,0,Callose,1.0,0.0,26.0,124.0,662.0,129.0,668.0,126.0,664.5
33,0,34,0,Callose,1.0,0.0,109.0,818.0,663.0,826.0,679.0,821.5688,670.2385
34,0,35,0,Callose,1.0,0.0,55.0,516.0,667.0,524.0,676.0,519.5455,670.4909
35,0,36,0,Callose,1.0,0.0,162.0,922.0,685.0,934.0,703.0,926.8827,693.6358
36,0,37,0,Callose,1.0,0.0,63.0,466.0,687.0,474.0,698.0,469.87302,691.7778
37,0,38,0,Callose,1.0,0.0,52.0,610.0,698.0,617.0,707.0,613.1923,701.5769
38,0,39,0,Callose,1.0,0.0,45.0,214.0,724.0,221.0,732.0,216.82222,727.3333
39,0,40,0,Callose,1.0,0.0,59.0,187.0,734.0,194.0,745.0,190.1017,739.0
40,0,41,0,Callose,1.0,0.0,81.0,835.0,735.0,844.0,746.0,838.9136,740.2716
41,0,42,0,Callose,1.0,0.0,61.0,128.0,736.0,136.0,746.0,131.60655,740.26227
42,0,43,0,Callose,1.0,0.0,25.0,792.0,738.0,798.0,744.0,794.32,740.56
43,0,44,0,Callose,1.0,0.0,236.0,864.0,761.0,876.0,786.0,869.8178,773.27966
44,0,45,0,Callose,1.0,0.0,50.0,57.0,765.0,65.0,773.0,60.5,768.44
45,0,46,0,Callose,1.0,0.0,26.0,47.0,807.0,53.0,813.0,49.384617,809.3077
46,0,47,0,Callose,1.0,0.0,93.0,69.0,831.0,79.0,844.0,73.247314,836.8172
47,0,48,0,Callose,1.0,0.0,140.0,923.0,841.0,934.0,858.0,927.8929,849.2143
48,0,49,0,Callose,1.0,0.0,485.0,859.0,852.0,876.0,908.0,866.4969,878.10516
49,0,50,0,Callose,1.0,0.0,37.0,833.0,853.0,838.0,862.0,835.1892,856.9459
50,0,51,0,Callose,1.0,0.0,24.0,924.0,926.0,930.0,931.0,926.3333,928.125
51,0,52,0,Callose,1.0,0.0,115.0,869.0,937.0,882.0,949.0,874.7913,942.1478
52,0,53,0,Callose,1.0,0.0,134.0,921.0,955.0,935.0,969.0,927.4627,961.8955
53,0,54,0,Callose,1.0,0.0,162.0,970.0,978.0,986.0,993.0,977.7099,984.4753
54,0,55,0,Callose,1.0,0.0,55.0,929.0,1016.0,937.0,1024.0,932.1091,1019.6909
