object_id,timestep,labelimage_oid,User Label,Predicted Class,Probability of Callose,Probability of Label 2,Size in pixels,Bounding Box Minimum_0,Bounding Box Minimum_1,Bounding Box Maximum_0,Bounding Box Maximum_1,Center of the object_0,Center of the object_1
0,0,1,0,Callose,1.0,0.0,49.0,524.0,23.0,531.0,32.0,526.9796,26.836735
1,0,2,0,Callose,1.0,0.0,48.0,477.0,166.0,483.0,179.0,479.3125,171.83333
2,0,3,0,Callose,1.0,0.0,55.0,525.0,171.0,531.0,183.0,527.4909,177.10909
3,0,4,0,Callose,1.0,0.0,43.0,572.0,204.0,578.0,213.0,574.8605,207.97675
4,0,5,0,Callose,1.0,0.0,52.0,404.0,252.0,411.0,262.0,406.92307,256.8846
5,0,6,0,Callose,1.0,0.0,51.0,684.0,264.0,692.0,273.0,687.7059,267.9608
6,0,7,0,Callose,1.0,0.0,51.0,561.0,278.0,568.0,287.0,564.098,282.13727
7,0,8,0,Callose,1.0,0.0,49.0,595.0,284.0,602.0,293.0,597.7143,288.06122
8,0,9,0,Callose,1.0,0.0,34.0,524.0,338.0,531.0,345.0,526.7647,340.7353
9,0,10,0,Callose,1.0,0.0,74.0,405.0,480.0,414.0,495.0,408.3919,486.9189
10,0,11,0,Callose,1.0,0.0,69.0,403.0,630.0,408.0,649.0,405.2029,638.029
11,0,12,0,Callose,1.0,0.0,54.0,525.0,677.0,532.0,689.0,527.8333,682.4815
12,0,13,0,Callose,1.0,0.0,29.0,663.0,682.0,668.0,689.0,664.7586,685.2069
13,0,14,0,Callose,1.0,0.0,23.0,294.0,725.0,299.0,730.0,295.82608,727.0
14,0,15,0,Callose,1.0,0.0,49.0,627.0,802.0,636.0,811.0,631.18365,806.04083
15,0,16,0,Callose,1.0,0.0,37.0,406.0,807.0,411.0,817.0,408.24326,811.6486
16,0,17,0,Callose,1.0,0.0,54.0,404.0,856.0,411.0,866.0,407.01852,860.44446
17,0,18,0,Callose,1.0,0.0,57.0,599.0,873.0,605.0,887.0,601.2632,879.7895
18,0,19,0,Callose,1.0,0.0,31.0,662.0,900.0,668.0,908.0,664.25806,903.5161
19,0,20,0,Callose,1.0,0.0,32.0,296.0,914.0,302.0,920.0,298.34375,916.46875
20,0,21,0,Callose,1.0,0.0,36.0,529.0,926.0,536.0,933.0,531.6667,929.3333
21,0,22,0,Callose,1.0,0.0,28.0,421.0,944.0,426.0,953.0,422.82144,948.1429
22,0,23,0,Callose,1.0,0.0,26.0,401.0,985.0,409.0,991.0,405.07693,987.4231
23,0,24,0,Callose,1.0,0.0,28.0,363.0,992.0,370.0,999.0,366.2857,994.75
24,0,25,0,Callose,1.0,0.0,23.0,598.0,1009.0,603.0,1015.0,600.26086,1011.3913
