object_id,timestep,labelimage_oid,User Label,Predicted Class,Probability of Callose,Probability of Label 2,Size in pixels,Bounding Box Minimum_0,Bounding Box Minimum_1,Bounding Box Maximum_0,Bounding Box Maximum_1,Center of the object_0,Center of the object_1
0,0,1,0,Callose,1.0,0.0,31.0,480.0,0.0,485.0,7.0,482.12903,2.967742
1,0,2,0,Callose,1.0,0.0,35.0,411.0,5.0,417.0,13.0,413.51428,8.6
2,0,3,0,Callose,1.0,0.0,42.0,482.0,40.0,489.0,48.0,485.3095,43.642857
3,0,4,0,Callose,1.0,0.0,47.0,436.0,42.0,443.0,51.0,439.04254,46.12766
4,0,5,0,Callose,1.0,0.0,85.0,381.0,46.0,389.0,59.0,384.2706,51.91765
5,0,6,0,Callose,1.0,0.0,35.0,412.0,52.0,418.0,60.0,414.65714,55.82857
6,0,7,0,Callose,1.0,0.0,75.0,465.0,55.0,472.0,68.0,468.29333,60.97333
7,0,8,0,Callose,1.0,0.0,66.0,356.0,67.0,363.0,80.0,358.4394,73.606064
8,0,9,0,Callose,1.0,0.0,20.0,318.0,70.0,323.0,75.0,319.95,71.75
9,0,10,0,Callose,1.0,0.0,27.0,442.0,75.0,447.0,81.0,443.92593,77.59259
10,0,11,0,Callose,1.0,0.0,29.0,405.0,84.0,411.0,91.0,407.2069,86.62069
11,0,12,0,Callose,1.0,0.0,40.0,401.0,100.0,407.0,109.0,403.575,103.85
12,0,13,0,Callose,1.0,0.0,31.0,431.0,109.0,436.0,117.0,432.96774,112.741936
13,0,14,0,Callose,1.0,0.0,26.0,360.0,123.0,366.0,129.0,362.6154,125.92308
14,0,15,0,Callose,1.0,0.0,28.0,386.0,127.0,392.0,134.0,388.89285,130.39285
15,0,16,0,Callose,1.0,0.0,66.0,433.0,148.0,440.0,161.0,436.48486,153.5
16,0,17,0,Callose,1.0,0.0,48.0,500.0,162.0,507.0,174.0,502.91666,167.20833
17,0,18,0,Callose,1.0,0.0,51.0,447.0,165.0,453.0,175.0,449.70587,169.45097
18,0,19,0,Callose,1.0,0.0,26.0,373.0,184.0,379.0,190.0,375.1154,186.73077
19,0,20,0,Callose,1.0,0.0,27.0,348.0,191.0,353.0,199.0,349.66666,194.11111
20,0,21,0,Callose,1.0,0.0,38.0,461.0,193.0,466.0,201.0,463.0,196.5
