object_id,timestep,labelimage_oid,User Label,Predicted Class,Probability of Callose,Probability of Label 2,Size in pixels,Bounding Box Minimum_0,Bounding Box Minimum_1,Bounding Box Maximum_0,Bounding Box Maximum_1,Center of the object_0,Center of the object_1
0,0,1,0,Callose,1.0,0.0,23.0,293.0,3.0,298.0,9.0,295.21738,5.3913045
1,0,2,0,Callose,1.0,0.0,25.0,451.0,40.0,457.0,45.0,453.76,42.04
2,0,3,0,Callose,1.0,0.0,55.0,279.0,55.0,287.0,65.0,282.70908,60.21818
3,0,4,0,Callose,1.0,0.0,53.0,381.0,74.0,390.0,83.0,385.62265,78.50944
4,0,5,0,Callose,1.0,0.0,61.0,416.0,93.0,423.0,107.0,418.7541,100.52459
5,0,6,0,Callose,1.0,0.0,99.0,335.0,124.0,344.0,138.0,338.85858,130.78787
6,0,7,0,Callose,1.0,0.0,45.0,438.0,129.0,445.0,138.0,441.06668,133.06667
7,0,8,0,Callose,1.0,0.0,44.0,291.0,130.0,297.0,139.0,293.6591,134.22728
8,0,9,0,Callose,1.0,0.0,29.0,364.0,142.0,370.0,150.0,366.55173,145.3793
9,0,10,0,Callose,1.0,0.0,26.0,324.0,154.0,330.0,160.0,326.65384,156.61539
10,0,11,0,Callose,1.0,0.0,30.0,458.0,157.0,464.0,164.0,460.43332,159.83333
11,0,12,0,Callose,1.0,0.0,38.0,332.0,159.0,338.0,168.0,334.8684,162.92105
12,0,13,0,Callose,1.0,0.0,23.0,371.0,182.0,375.0,189.0,372.65216,185.34782
13,0,14,0,Callose,1.0,0.0,53.0,548.0,182.0,554.0,193.0,550.2453,187.49057
14,0,15,0,Callose,1.0,0.0,71.0,447.0,184.0,454.0,200.0,450.05634,191.1831
15,0,16,0,Callose,1.0,0.0,27.0,379.0,189.0,384.0,196.0,381.0,192.37038
16,0,17,0,Callose,1.0,0.0,28.0,341.0,197.0,347.0,203.0,343.2143,199.5
17,0,18,0,Callose,1.0,0.0,37.0,261.0,202.0,268.0,209.0,264.3784,204.7027
18,0,19,0,Callose,1.0,0.0,38.0,289.0,204.0,296.0,212.0,291.71054,207.6842
19,0,20,0,Callose,1.0,0.0,54.0,325.0,212.0,333.0,222.0,328.64816,216.7037
20,0,21,0,Callose,1.0,0.0,31.0,507.0,215.0,512.0,222.0,509.0,218.0
21,0,22,0,Callose,1.0,0.0,33.0,355.0,220.0,362.0,227.0,357.9394,223.0
22,0,23,0,Callose,1.0,0.0,38.0,427.0,220.0,433.0,228.0,429.44736,223.97368
23,0,24,0,Callose,1.0,0.0,31.0,458.0,223.0,465.0,229.0,460.87097,225.58064
24,0,25,0,Callose,1.0,0.0,42.0,637.0,230.0,643.0,239.0,639.4524,233.83333
25,0,26,0,Callose,1.0,0.0,47.0,315.0,250.0,323.0,259.0,318.21277,254.57446
26,0,27,0,Callose,1.0,0.0,53.0,433.0,256.0,443.0,263.0,437.62265,258.71698
27,0,28,0,Callose,1.0,0.0,46.0,310.0,266.0,318.0,275.0,313.34784,269.8913
28,0,29,0,Callose,1.0,0.0,41.0,391.0,274.0,399.0,281.0,394.58536,277.02438
29,0,30,0,Callose,1.0,0.0,28.0,578.0,287.0,583.0,294.0,579.7857,290.39285
30,0,31,0,Callose,1.0,0.0,47.0,317.0,306.0,324.0,316.0,319.65958,310.0
31,0,32,0,Callose,1.0,0.0,58.0,586.0,311.0,594.0,321.0,588.9828,315.7414
32,0,33,0,Callose,1.0,0.0,62.0,442.0,316.0,449.0,328.0,444.82257,321.4355
33,0,34,0,Callose,1.0,0.0,39.0,624.0,318.0,630.0,327.0,626.9231,321.8718
34,0,35,0,Callose,1.0,0.0,45.0,416.0,320.0,422.0,332.0,418.4222,324.9111
35,0,36,0,Callose,1.0,0.0,62.0,656.0,333.0,665.0,344.0,659.69354,338.1129
36,0,37,0,Callose,1.0,0.0,40.0,219.0,362.0,226.0,369.0,222.075,365.05
37,0,38,0,Callose,1.0,0.0,56.0,552.0,364.0,559.0,375.0,554.8571,369.35715
38,0,39,0,Callose,1.0,0.0,58.0,419.0,367.0,426.0,378.0,421.94827,372.01724
39,0,40,0,Callose,1.0,0.0,64.0,330.0,377.0,337.0,388.0,333.03125,382.34375
40,0,41,0,Callose,1.0,0.0,37.0,400.0,379.0,407.0,386.0,403.2973,382.13513
41,0,42,0,Callose,1.0,0.0,32.0,312.0,381.0,318.0,388.0,314.28125,384.15625
42,0,43,0,Callose,1.0,0.0,60.0,538.0,392.0,547.0,401.0,541.65,396.05
43,0,44,0,Callose,1.0,0.0,54.0,384.0,416.0,391.0,428.0,387.24075,421.77777
44,0,45,0,Callose,1.0,0.0,62.0,351.0,418.0,357.0,430.0,353.5645,423.59677
45,0,46,0,Callose,1.0,0.0,35.0,569.0,418.0,575.0,426.0,571.4857,421.25714
46,0,47,0,Callose,1.0,0.0,80.0,428.0,425.0,437.0,440.0,431.5625,431.9875
47,0,48,0,Callose,1.0,0.0,24.0,282.0,431.0,287.0,437.0,284.125,433.66666
48,0,49,0,Callose,1.0,0.0,115.0,506.0,434.0,515.0,451.0,509.83478,441.8
49,0,50,0,Callose,1.0,0.0,35.0,395.0,435.0,403.0,441.0,398.77142,437.54285
50,0,51,0,Callose,1.0,0.0,24.0,577.0,437.0,583.0,442.0,579.2917,439.04166
51,0,52,0,Callose,1.0,0.0,69.0,619.0,437.0,627.0,447.0,622.28986,441.14493
52,0,53,0,Callose,1.0,0.0,30.0,237.0,448.0,242.0,456.0,238.86667,451.3
53,0,54,0,Callose,1.0,0.0,33.0,490.0,449.0,496.0,456.0,492.45456,451.9091
54,0,55,0,Callose,1.0,0.0,27.0,406.0,457.0,414.0,461.0,409.14816,458.37036
55,0,56,0,Callose,1.0,0.0,48.0,308.0,470.0,316.0,479.0,311.0,474.375
56,0,57,0,Callose,1.0,0.0,63.0,589.0,470.0,598.0,479.0,593.4603,473.68253
57,0,58,0,Callose,1.0,0.0,38.0,338.0,480.0,345.0,488.0,341.0,483.76315
58,0,59,0,Callose,1.0,0.0,57.0,537.0,483.0,544.0,494.0,539.7368,487.3684
59,0,60,0,Callose,1.0,0.0,41.0,320.0,494.0,329.0,501.0,324.09756,497.02438
60,0,61,0,Callose,1.0,0.0,45.0,646.0,494.0,653.0,503.0,649.26666,498.26666
61,0,62,0,Callose,1.0,0.0,26.0,503.0,496.0,508.0,502.0,505.0,498.5
62,0,63,0,Callose,1.0,0.0,38.0,419.0,502.0,427.0,508.0,422.44736,504.44736
63,0,64,0,Callose,1.0,0.0,24.0,324.0,517.0,330.0,523.0,326.20834,519.5417
64,0,65,0,Callose,1.0,0.0,21.0,611.0,531.0,617.0,536.0,613.7619,532.7143
65,0,66,0,Callose,1.0,0.0,42.0,289.0,535.0,296.0,543.0,291.64285,538.4048
66,0,67,0,Callose,1.0,0.0,33.0,385.0,545.0,391.0,552.0,387.63635,547.7879
67,0,68,0,Callose,1.0,0.0,65.0,534.0,545.0,544.0,553.0,538.10767,548.5231
68,0,69,0,Callose,1.0,0.0,31.0,584.0,546.0,590.0,553.0,586.5484,549.19354
69,0,70,0,Callose,1.0,0.0,34.0,560.0,547.0,566.0,554.0,562.5,550.0
70,0,71,0,Callose,1.0,0.0,48.0,423.0,548.0,431.0,557.0,426.54166,552.1667
71,0,72,0,Callose,1.0,0.0,47.0,480.0,562.0,487.0,570.0,483.1915,565.59576
72,0,73,0,Callose,1.0,0.0,59.0,611.0,583.0,619.0,592.0,614.77966,586.94916
73,0,74,0,Callose,1.0,0.0,33.0,319.0,587.0,324.0,595.0,321.15152,590.2727
74,0,75,0,Callose,1.0,0.0,49.0,308.0,589.0,314.0,599.0,310.5306,593.5102
75,0,76,0,Callose,1.0,0.0,31.0,281.0,595.0,287.0,601.0,283.5484,597.70966
76,0,77,0,Callose,1.0,0.0,29.0,433.0,598.0,437.0,608.0,434.2069,602.34485
77,0,78,0,Callose,1.0,0.0,63.0,598.0,610.0,606.0,621.0,601.74603,614.4603
78,0,79,0,Callose,1.0,0.0,38.0,256.0,611.0,262.0,619.0,258.5,614.3947
79,0,80,0,Callose,1.0,0.0,26.0,296.0,611.0,302.0,617.0,298.0,613.8077
80,0,81,0,Callose,1.0,0.0,34.0,555.0,611.0,561.0,618.0,557.41174,614.32355
81,0,82,0,Callose,1.0,0.0,39.0,567.0,615.0,573.0,624.0,569.4359,619.0513
82,0,83,0,Callose,1.0,0.0,40.0,429.0,621.0,436.0,628.0,431.925,624.025
83,0,84,0,Callose,1.0,0.0,113.0,536.0,625.0,546.0,642.0,540.2655,632.92035
84,0,85,0,Callose,1.0,0.0,21.0,600.0,628.0,605.0,633.0,601.9524,629.8095
85,0,86,0,Callose,1.0,0.0,41.0,621.0,632.0,628.0,639.0,624.04877,635.14636
86,0,87,0,Callose,1.0,0.0,34.0,574.0,642.0,580.0,650.0,576.6177,645.82355
87,0,88,0,Callose,1.0,0.0,45.0,373.0,647.0,380.0,654.0,376.0,650.0
88,0,89,0,Callose,1.0,0.0,45.0,390.0,653.0,396.0,662.0,392.55554,657.3555
89,0,90,0,Callose,1.0,0.0,46.0,465.0,658.0,471.0,669.0,467.26086,663.04346
90,0,91,0,Callose,1.0,0.0,67.0,199.0,659.0,207.0,669.0,202.44775,663.4627
91,0,92,0,Callose,1.0,0.0,72.0,273.0,659.0,281.0,671.0,276.41666,664.6389
92,0,93,0,Callose,1.0,0.0,62.0,559.0,660.0,567.0,670.0,562.70966,664.5968
93,0,94,0,Callose,1.0,0.0,41.0,548.0,664.0,555.0,671.0,551.0,667.0
94,0,95,0,Callose,1.0,0.0,26.0,410.0,668.0,417.0,674.0,413.42307,670.2308
95,0,96,0,Callose,1.0,0.0,65.0,439.0,670.0,449.0,680.0,443.43076,674.66156
96,0,97,0,Callose,1.0,0.0,69.0,591.0,676.0,602.0,686.0,595.89856,680.6377
97,0,98,0,Callose,1.0,0.0,40.0,621.0,677.0,629.0,683.0,624.625,679.575
98,0,99,0,Callose,1.0,0.0,29.0,293.0,678.0,299.0,684.0,295.82758,680.65515
99,0,100,0,Callose,1.0,0.0,32.0,250.0,681.0,257.0,688.0,252.90625,683.875
100,0,101,0,Callose,1.0,0.0,33.0,541.0,689.0,548.0,695.0,544.3939,691.48486
101,0,102,0,Callose,1.0,0.0,39.0,420.0,690.0,428.0,697.0,423.2564,693.1539
102,0,103,0,Callose,1.0,0.0,20.0,483.0,692.0,489.0,696.0,485.25,693.6
103,0,104,0,Callose,1.0,0.0,35.0,362.0,695.0,370.0,701.0,365.14285,697.4
104,0,105,0,Callose,1.0,0.0,31.0,315.0,697.0,320.0,707.0,316.51614,701.64514
105,0,106,0,Callose,1.0,0.0,55.0,576.0,701.0,583.0,712.0,579.16364,705.6
106,0,107,0,Callose,1.0,0.0,40.0,470.0,703.0,476.0,713.0,472.3,707.8
107,0,108,0,Callose,1.0,0.0,20.0,303.0,704.0,308.0,709.0,304.75,706.05
108,0,109,0,Callose,1.0,0.0,20.0,404.0,713.0,409.0,720.0,405.95,715.4
109,0,110,0,Callose,1.0,0.0,54.0,186.0,726.0,196.0,733.0,190.18518,728.87036
110,0,111,0,Callose,1.0,0.0,35.0,578.0,730.0,586.0,736.0,581.6,732.54285
111,0,112,0,Callose,1.0,0.0,42.0,395.0,733.0,402.0,741.0,398.14285,736.0952
112,0,113,0,Callose,1.0,0.0,48.0,613.0,741.0,620.0,751.0,615.9167,745.375
113,0,114,0,Callose,1.0,0.0,48.0,473.0,744.0,480.0,753.0,475.77084,747.7083
114,0,115,0,Callose,1.0,0.0,48.0,626.0,747.0,632.0,757.0,628.625,751.75
115,0,116,0,Callose,1.0,0.0,40.0,289.0,750.0,296.0,757.0,291.925,753.05
116,0,117,0,Callose,1.0,0.0,54.0,270.0,751.0,277.0,761.0,273.1111,755.7222
117,0,118,0,Callose,1.0,0.0,28.0,692.0,753.0,697.0,762.0,694.4643,757.2857
118,0,119,0,Callose,1.0,0.0,35.0,550.0,755.0,556.0,762.0,552.6857,757.6857
119,0,120,0,Callose,1.0,0.0,59.0,347.0,757.0,356.0,766.0,351.0339,760.88135
120,0,121,0,Callose,1.0,0.0,73.0,455.0,762.0,463.0,776.0,458.31506,768.58905
121,0,122,0,Callose,1.0,0.0,43.0,539.0,763.0,546.0,771.0,541.72095,766.6279
122,0,123,0,Callose,1.0,0.0,23.0,529.0,767.0,535.0,773.0,531.3043,769.6087
123,0,124,0,Callose,1.0,0.0,37.0,372.0,768.0,379.0,775.0,374.81082,770.8108
124,0,125,0,Callose,1.0,0.0,54.0,481.0,770.0,487.0,782.0,483.57407,775.4074
125,0,126,0,Callose,1.0,0.0,31.0,585.0,777.0,591.0,784.0,587.5484,780.0968
126,0,127,0,Callose,1.0,0.0,38.0,558.0,780.0,565.0,788.0,561.2895,783.0
127,0,128,0,Callose,1.0,0.0,64.0,625.0,780.0,637.0,791.0,631.0,785.5469
128,0,129,0,Callose,1.0,0.0,35.0,193.0,781.0,200.0,787.0,195.91429,783.4286
129,0,130,0,Callose,1.0,0.0,46.0,295.0,782.0,302.0,792.0,298.02173,786.36957
130,0,131,0,Callose,1.0,0.0,42.0,348.0,792.0,352.0,805.0,349.5,798.381
131,0,132,0,Callose,1.0,0.0,40.0,262.0,795.0,268.0,804.0,264.65,799.325
132,0,133,0,Callose,1.0,0.0,41.0,388.0,799.0,394.0,807.0,390.56097,802.2683
133,0,134,0,Callose,1.0,0.0,20.0,408.0,801.0,413.0,807.0,410.0,803.5
134,0,135,0,Callose,1.0,0.0,53.0,580.0,803.0,589.0,811.0,583.8868,807.0
135,0,136,0,Callose,1.0,0.0,34.0,660.0,813.0,666.0,821.0,662.2647,816.58826
136,0,137,0,Callose,1.0,0.0,41.0,601.0,814.0,609.0,821.0,604.5854,817.0732
137,0,138,0,Callose,1.0,0.0,24.0,298.0,826.0,303.0,832.0,299.83334,828.5
138,0,139,0,Callose,1.0,0.0,34.0,660.0,829.0,665.0,837.0,662.1177,832.5
139,0,140,0,Callose,1.0,0.0,29.0,559.0,833.0,567.0,838.0,562.4483,834.7586
140,0,141,0,Callose,1.0,0.0,36.0,531.0,834.0,540.0,841.0,535.25,837.2222
141,0,142,0,Callose,1.0,0.0,28.0,675.0,834.0,682.0,840.0,678.2143,836.5357
142,0,143,0,Callose,1.0,0.0,49.0,339.0,837.0,346.0,846.0,342.06122,840.8571
143,0,144,0,Callose,1.0,0.0,94.0,360.0,843.0,370.0,857.0,364.8085,848.8298
144,0,145,0,Callose,1.0,0.0,23.0,525.0,843.0,531.0,849.0,527.4783,845.86957
145,0,146,0,Callose,1.0,0.0,37.0,256.0,845.0,262.0,853.0,258.6216,849.02704
146,0,147,0,Callose,1.0,0.0,47.0,185.0,846.0,194.0,853.0,188.42554,849.0
147,0,148,0,Callose,1.0,0.0,23.0,537.0,852.0,542.0,858.0,538.95654,854.6087
148,0,149,0,Callose,1.0,0.0,24.0,285.0,854.0,290.0,860.0,287.04166,856.2917
149,0,150,0,Callose,1.0,0.0,87.0,450.0,858.0,458.0,872.0,453.0,864.37933
150,0,151,0,Callose,1.0,0.0,38.0,602.0,858.0,609.0,865.0,604.8684,860.7368
151,0,152,0,Callose,1.0,0.0,28.0,254.0,863.0,259.0,870.0,256.07144,865.5357
152,0,153,0,Callose,1.0,0.0,30.0,266.0,867.0,273.0,873.0,268.83334,869.2
153,0,154,0,Callose,1.0,0.0,38.0,469.0,876.0,476.0,884.0,471.89474,879.8421
154,0,155,0,Callose,1.0,0.0,41.0,227.0,879.0,235.0,886.0,230.56097,881.7317
155,0,156,0,Callose,1.0,0.0,27.0,594.0,879.0,600.0,885.0,596.5926,881.8148
156,0,157,0,Callose,1.0,0.0,96.0,340.0,883.0,349.0,897.0,343.79166,890.01044
157,0,158,0,Callose,1.0,0.0,49.0,515.0,896.0,524.0,905.0,519.0816,899.9184
158,0,159,0,Callose,1.0,0.0,57.0,293.0,905.0,300.0,915.0,295.78946,909.5614
159,0,160,0,Callose,1.0,0.0,49.0,156.0,907.0,164.0,915.0,159.28572,910.4898
160,0,161,0,Callose,1.0,0.0,21.0,241.0,909.0,247.0,914.0,243.38095,911.2381
161,0,162,0,Callose,1.0,0.0,70.0,666.0,912.0,674.0,926.0,669.7143,918.3714
162,0,163,0,Callose,1.0,0.0,70.0,496.0,913.0,506.0,924.0,500.24286,918.9286
163,0,164,0,Callose,1.0,0.0,46.0,406.0,916.0,414.0,924.0,409.73914,919.73914
164,0,165,0,Callose,1.0,0.0,47.0,374.0,917.0,382.0,926.0,377.7447,920.8298
165,0,166,0,Callose,1.0,0.0,29.0,562.0,920.0,568.0,927.0,564.2759,922.7931
166,0,167,0,Callose,1.0,0.0,37.0,250.0,928.0,257.0,935.0,253.05405,930.97296
167,0,168,0,Callose,1.0,0.0,35.0,557.0,937.0,563.0,945.0,559.25714,940.4
168,0,169,0,Callose,1.0,0.0,22.0,545.0,941.0,550.0,947.0,547.36365,943.5
169,0,170,0,Callose,1.0,0.0,31.0,349.0,943.0,355.0,949.0,351.64517,945.29034
170,0,171,0,Callose,1.0,0.0,28.0,531.0,945.0,537.0,951.0,533.2143,947.5
171,0,172,0,Callose,1.0,0.0,45.0,451.0,954.0,458.0,962.0,453.82224,957.3333
172,0,173,0,Callose,1.0,0.0,43.0,392.0,956.0,401.0,962.0,395.74417,958.51166
173,0,174,0,Callose,1.0,0.0,70.0,327.0,959.0,335.0,971.0,330.3143,964.7143
174,0,175,0,Callose,1.0,0.0,56.0,584.0,964.0,590.0,975.0,586.6607,968.8571
175,0,176,0,Callose,1.0,0.0,31.0,216.0,970.0,223.0,976.0,218.6129,972.5161
176,0,177,0,Callose,1.0,0.0,36.0,363.0,976.0,369.0,983.0,365.55554,978.69446
177,0,178,0,Callose,1.0,0.0,41.0,452.0,977.0,457.0,986.0,454.07318,980.8293
178,0,179,0,Callose,1.0,0.0,21.0,259.0,980.0,264.0,985.0,261.33334,981.8571
179,0,180,0,Callose,1.0,0.0,52.0,268.0,985.0,274.0,996.0,270.32693,990.1923
180,0,181,0,Callose,1.0,0.0,33.0,245.0,986.0,251.0,995.0,247.81818,990.1515
181,0,182,0,Callose,1.0,0.0,44.0,654.0,989.0,659.0,1000.0,655.7955,993.9318
182,0,183,0,Callose,1.0,0.0,63.0,359.0,999.0,365.0,1014.0,361.36508,1005.381
183,0,184,0,Callose,1.0,0.0,67.0,226.0,1005.0,236.0,1014.0,230.47762,1008.76117
184,0,185,0,Callose,1.0,0.0,44.0,555.0,1007.0,562.0,1014.0,557.8182,1010.0455
