object_id,timestep,labelimage_oid,User Label,Predicted Class,Probability of Callose,Probability of Label 2,Size in pixels,Bounding Box Minimum_0,Bounding Box Minimum_1,Bounding Box Maximum_0,Bounding Box Maximum_1,Center of the object_0,Center of the object_1
0,0,1,0,Callose,1.0,0.0,39.0,662.0,3.0,668.0,12.0,664.5128,6.6410255
1,0,2,0,Callose,1.0,0.0,48.0,654.0,26.0,660.0,35.0,656.5833,30.145834
2,0,3,0,Callose,1.0,0.0,20.0,341.0,37.0,347.0,42.0,343.3,38.85
3,0,4,0,Callose,1.0,0.0,59.0,556.0,40.0,563.0,53.0,559.0847,45.42373
4,0,5,0,Callose,1.0,0.0,37.0,639.0,85.0,645.0,93.0,641.43243,88.432434
5,0,6,0,Callose,1.0,0.0,23.0,481.0,103.0,486.0,109.0,482.91306,105.21739
6,0,7,0,Callose,1.0,0.0,72.0,642.0,127.0,649.0,140.0,644.9722,133.5
7,0,8,0,Callose,1.0,0.0,41.0,352.0,133.0,357.0,143.0,354.0,137.60976
8,0,9,0,Callose,1.0,0.0,66.0,580.0,143.0,587.0,157.0,583.30304,150.04546
9,0,10,0,Callose,1.0,0.0,29.0,635.0,183.0,641.0,189.0,637.4138,185.13792
10,0,11,0,Callose,1.0,0.0,33.0,639.0,211.0,646.0,218.0,641.75757,214.51515
11,0,12,0,Callose,1.0,0.0,21.0,469.0,220.0,474.0,226.0,471.09525,222.28572
12,0,13,0,Callose,1.0,0.0,47.0,623.0,220.0,630.0,229.0,626.42554,224.10638
13,0,14,0,Callose,1.0,0.0,52.0,554.0,252.0,563.0,260.0,557.96155,255.42308
14,0,15,0,Callose,1.0,0.0,59.0,594.0,292.0,602.0,304.0,597.37286,297.6271
15,0,16,0,Callose,1.0,0.0,62.0,635.0,314.0,641.0,330.0,637.6129,322.3871
16,0,17,0,Callose,1.0,0.0,23.0,339.0,327.0,344.0,334.0,340.82608,329.3913
17,0,18,0,Callose,1.0,0.0,62.0,604.0,338.0,612.0,353.0,607.6774,345.6129
18,0,19,0,Callose,1.0,0.0,45.0,542.0,347.0,548.0,358.0,544.3555,351.22223
19,0,20,0,Callose,1.0,0.0,62.0,624.0,402.0,632.0,415.0,627.5968,407.74194
20,0,21,0,Callose,1.0,0.0,42.0,598.0,454.0,607.0,460.0,602.1905,456.83334
21,0,22,0,Callose,1.0,0.0,41.0,531.0,466.0,537.0,475.0,533.2439,470.04877
22,0,23,0,Callose,1.0,0.0,41.0,620.0,503.0,626.0,511.0,622.6585,506.41464
23,0,24,0,Callose,1.0,0.0,21.0,271.0,514.0,275.0,521.0,272.4762,516.8095
24,0,25,0,Callose,1.0,0.0,55.0,959.0,532.0,966.0,542.0,962.1818,536.6
25,0,26,0,Callose,1.0,0.0,23.0,606.0,539.0,611.0,545.0,607.7826,541.65216
26,0,27,0,Callose,1.0,0.0,48.0,411.0,543.0,416.0,555.0,412.89584,548.5625
27,0,28,0,Callose,1.0,0.0,57.0,614.0,553.0,621.0,563.0,616.6667,557.4737
28,0,29,0,Callose,1.0,0.0,43.0,521.0,565.0,526.0,576.0,522.907,569.2558
29,0,30,0,Callose,1.0,0.0,22.0,865.0,567.0,870.0,575.0,866.7273,570.6818
30,0,31,0,Callose,1.0,0.0,38.0,861.0,602.0,867.0,610.0,863.8684,605.6316
31,0,32,0,Callose,1.0,0.0,35.0,221.0,607.0,227.0,615.0,223.11429,610.8571
32,0,33,0,Callose,1.0,0.0,43.0,247.0,618.0,253.0,626.0,249.55814,621.4186
33,0,34,0,Callose,1.0,0.0,28.0,532.0,627.0,540.0,632.0,535.1786,629.0714
34,0,35,0,Callose,1.0,0.0,21.0,481.0,628.0,486.0,634.0,482.9524,630.381
35,0,36,0,Callose,1.0,0.0,37.0,599.0,629.0,605.0,637.0,601.72974,632.0541
36,0,37,0,Callose,1.0,0.0,22.0,521.0,648.0,525.0,655.0,522.4091,650.7727
37,0,38,0,Callose,1.0,0.0,50.0,249.0,650.0,255.0,660.0,251.42,654.76
38,0,39,0,Callose,1.0,0.0,30.0,403.0,650.0,408.0,658.0,404.9,653.4
39,0,40,0,Callose,1.0,0.0,26.0,474.0,653.0,478.0,661.0,475.30768,656.9231
40,0,41,0,Callose,1.0,0.0,31.0,771.0,682.0,778.0,688.0,774.19354,684.64514
41,0,42,0,Callose,1.0,0.0,21.0,588.0,700.0,592.0,706.0,589.5714,702.619
42,0,43,0,Callose,1.0,0.0,53.0,243.0,704.0,249.0,714.0,245.4717,708.4528
43,0,44,0,Callose,1.0,0.0,38.0,779.0,711.0,786.0,718.0,782.2105,714.1579
44,0,45,0,Callose,1.0,0.0,26.0,586.0,758.0,590.0,766.0,587.5769,761.7308
45,0,46,0,Callose,1.0,0.0,30.0,287.0,781.0,292.0,788.0,288.96667,783.9
46,0,47,0,Callose,1.0,0.0,32.0,654.0,820.0,660.0,827.0,656.5,823.0
47,0,48,0,Callose,1.0,0.0,44.0,563.0,833.0,569.0,844.0,565.2955,837.6818
48,0,49,0,Callose,1.0,0.0,37.0,231.0,847.0,237.0,855.0,233.08109,850.4865
49,0,50,0,Callose,1.0,0.0,81.0,779.0,850.0,788.0,863.0,783.23456,856.1852
50,0,51,0,Callose,1.0,0.0,25.0,589.0,863.0,594.0,870.0,590.96,866.2
51,0,52,0,Callose,1.0,0.0,20.0,231.0,868.0,236.0,873.0,233.1,869.85
52,0,53,0,Callose,1.0,0.0,21.0,521.0,879.0,525.0,886.0,522.8095,882.1429
53,0,54,0,Callose,1.0,0.0,32.0,374.0,893.0,379.0,905.0,376.3125,898.65625
54,0,55,0,Callose,1.0,0.0,74.0,288.0,936.0,294.0,954.0,290.6081,944.82434
55,0,56,0,Callose,1.0,0.0,28.0,457.0,936.0,462.0,943.0,459.17856,939.2143
56,0,57,0,Callose,1.0,0.0,21.0,382.0,960.0,387.0,965.0,384.14285,962.3333
57,0,58,0,Callose,1.0,0.0,27.0,383.0,973.0,388.0,979.0,385.07407,975.4074
58,0,59,0,Callose,1.0,0.0,36.0,226.0,1001.0,232.0,1009.0,228.44444,1004.2222
59,0,60,0,Callose,1.0,0.0,24.0,453.0,1011.0,459.0,1016.0,455.66666,1013.125
