object_id,timestep,labelimage_oid,User Label,Predicted Class,Probability of Callose,Probability of Label 2,Size in pixels,Bounding Box Minimum_0,Bounding Box Minimum_1,Bounding Box Maximum_0,Bounding Box Maximum_1,Center of the object_0,Center of the object_1
0,0,1,0,Callose,1.0,0.0,134.0,556.0,55.0,567.0,71.0,560.49255,62.78358
1,0,2,0,Callose,1.0,0.0,22.0,462.0,90.0,467.0,95.0,464.0909,91.90909
2,0,3,0,Callose,1.0,0.0,30.0,768.0,107.0,774.0,114.0,770.26666,109.8
3,0,4,0,Callose,1.0,0.0,71.0,375.0,112.0,385.0,122.0,379.7465,116.15493
4,0,5,0,Callose,1.0,0.0,126.0,709.0,139.0,720.0,154.0,713.9127,145.83333
5,0,6,0,Callose,1.0,0.0,59.0,228.0,144.0,237.0,154.0,231.9661,148.79662
6,0,7,0,Callose,1.0,0.0,38.0,624.0,148.0,631.0,155.0,627.2105,150.8421
7,0,8,0,Callose,1.0,0.0,38.0,625.0,174.0,632.0,181.0,628.3684,176.78947
8,0,9,0,Callose,1.0,0.0,50.0,446.0,189.0,454.0,197.0,449.44,192.5
9,0,10,0,Callose,1.0,0.0,57.0,628.0,200.0,636.0,210.0,631.2982,204.54385
10,0,11,0,Callose,1.0,0.0,24.0,455.0,245.0,460.0,251.0,457.04166,247.29167
11,0,12,0,Callose,1.0,0.0,21.0,457.0,272.0,461.0,279.0,458.61905,274.66666
12,0,13,0,Callose,1.0,0.0,51.0,192.0,372.0,199.0,381.0,194.7255,375.92157
13,0,14,0,Callose,1.0,0.0,106.0,387.0,459.0,396.0,474.0,391.00943,465.50943
14,0,15,0,Callose,1.0,0.0,32.0,388.0,489.0,395.0,495.0,390.75,491.6875
15,0,16,0,Callose,1.0,0.0,54.0,267.0,514.0,275.0,524.0,270.3889,518.2593
16,0,17,0,Callose,1.0,0.0,44.0,551.0,657.0,557.0,666.0,553.4545,661.0455
17,0,18,0,Callose,1.0,0.0,53.0,460.0,675.0,468.0,684.0,463.71698,678.8679
18,0,19,0,Callose,1.0,0.0,50.0,290.0,692.0,299.0,701.0,294.48,695.98
19,0,20,0,Callose,1.0,0.0,40.0,471.0,717.0,477.0,726.0,473.125,721.275
20,0,21,0,Callose,1.0,0.0,22.0,278.0,792.0,283.0,798.0,280.18182,794.4091
21,0,22,0,Callose,1.0,0.0,126.0,358.0,818.0,370.0,833.0,363.2857,824.9127
22,0,23,0,Callose,1.0,0.0,55.0,461.0,879.0,470.0,888.0,465.29092,883.2364
23,0,24,0,Callose,1.0,0.0,115.0,280.0,901.0,292.0,914.0,285.13913,907.0
24,0,25,0,Callose,1.0,0.0,81.0,364.0,945.0,374.0,956.0,367.98764,949.8395
25,0,26,0,Callose,1.0,0.0,37.0,208.0,951.0,215.0,958.0,211.1892,954.2432
26,0,27,0,Callose,1.0,0.0,23.0,550.0,965.0,555.0,971.0,551.6087,967.26086
27,0,28,0,Callose,1.0,0.0,34.0,739.0,982.0,745.0,989.0,741.5,984.58826
28,0,29,0,Callose,1.0,0.0,265.0,206.0,985.0,216.0,1021.0,210.5283,1002.4981
